"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A36TE52PSYAAD6","cs_wg_v4_pilot1","3OUYGIZWR7ZALGDX3VY7YDR373YP00","39384","1616545","Other","885","No","No comments, I just did my best to remember as many words as I can. The time constraints made it really tough! ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 17:44:55","302"
"A4IH4CO046EV3","cs_wg_v4_pilot1","3ZAK8W07I4FNDLLTKHX18JE2FKQU01","42415","1949400","Male","255","No","Just try and remember as many words as possible and then see what fit the criteria.

Also, on the first part, regardless of what I pushed, either W or P, I was given the 5 points so I didn't really get the chance to earn much of a bonus since it always read that I picked the points - someone had a programming error somewhere. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 17:50:21","303"
"A17R9PYLUB516A","cs_wg_v4_pilot1","3ZGVPD4G6TI5FTCUO6KJ9MVMED2TZ1","93172","2756669","Female","368","No","No, and I didn't have a strategy, just tried to think as quick as I could and do it right.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:07:14","304"
"A3FTOELF4L0OWS","cs_wg_v4_pilot1","39ASUFLU6X8ELFUIXT73DFFA33HEXZ","80144","2901766","Female","372","No","The bonus didn't add up properly in part 1. Regardless if I hit W or P, it said that I chose 5 points. My bonus was also not tabulated correctly. When I chose P, I would get 5 points. When I chose W, I would not get as many points as it said I should based on the value of the word. Around question 75 I started choosing P for most of them so I would get at least 5 points. 
In part 2, I just did my best given the questions.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:07:54","305"
"A2ZR3PL5I0KPQ6","cs_wg_v4_pilot1","3ITXP059PWKE0EUBHKC7BNBATWBJSH","120089","3264172","Female","725","No","Thank you for the opportunity!  I don't think I had a good strategy for the 2nd part.  I kind of blanked out when I had to think about the words and what was being asked. I had a hard time coming up with them until the end. Overall fun task!  Good luck with your research!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:14:00","306"
"A3G6L97AX9KR7F","cs_wg_v4_pilot1","3D4CH1LGEAUM4X8B08RDXFE49G59GS","203263","3869149","Male","710","No","There was no strategy in part 2. I pictured words in my head and tried to figure out how many points they were worth. Thinking back, I should have used the time from the instruction page to think of an answer for the answer page. In part 1, I just thought up little stories like ""9 helicopters in formation"" or ""9 phallic structures on the lawn"". ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:26:44","307"
"A3SHLGG66PJXEB","cs_wg_v4_pilot1","3TMSXRD2X610CEVGB0G24CI95S7W15","173384","2824566","Female","761","No","No comments but my strategy in Part 2 was to simply try my best without rushing from the timer to remember words from part 1 that yield best answer to the questions.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:27:05","308"
"AFZ7Z5FOWM9VN","cs_wg_v4_pilot1","3VFJCI1K4Z0S8X4XUPRZO0EYF2BRGX","69044","2330725","Male","240","No","Try to remember as many words as possible to fill in the answers, if I couldnt remember the words in the moment, id try to reuse a word as long as it wasnt in a row.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:34:37","309"
"A1W4Q0E00VP6VD","cs_wg_v4_pilot1","3IJXV6UZ1XK64OASKDR29CREUF3RIP","352975","3879602","Male","255","No","My strategy was to remember the words with the most vowels.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:38:38","310"
"A15O8FA6OR136Z","cs_wg_v4_pilot1","3IX2EGZR7BK2ZZUY2VC2LD6E7USRJ1","197235","2656135","Male","752","No","TO LIST AS MANY WORDS AS I COULD IN THE VIRTUAL NOTEPAD. THEN WITH 10 SECS LEFT ON THE TIMER TRY TO PICK THE BEST WORD I HAD LISTED FOR THE SPECIFIC QUESTION",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-24 18:39:22","311"
