"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
6,8,4,4,7,5,7,6,8,4,7,6,5,6,5,7,8,8,4,5
7,5,4,6,8,8,5,4,6,7,5,8,8,6,4,7,7,5,4,6
5,5,4,6,6,4,4,6,7,5,7,8,8,6,8,7,5,8,4,7
4,7,8,6,8,4,8,5,6,7,7,8,5,6,5,4,5,7,6,4
6,8,5,7,8,4,6,8,8,4,7,5,6,4,6,5,5,7,4,7
6,6,6,8,4,4,8,4,6,8,5,5,8,7,7,7,5,7,5,4
7,7,4,6,4,6,6,4,6,8,8,8,5,8,5,5,4,5,7,7
5,7,8,4,7,4,5,6,4,6,8,5,8,5,6,7,6,4,8,7
5,7,4,8,4,6,5,8,7,8,5,7,5,6,4,4,8,6,6,7
8,5,8,5,8,6,7,4,7,6,6,4,7,4,8,5,7,5,4,6
4,8,4,8,5,8,6,8,7,5,4,5,5,6,4,7,6,7,7,6
4,5,7,8,8,8,5,8,7,6,6,7,5,5,7,4,6,6,4,4
5,4,4,7,7,6,7,8,4,8,4,6,8,7,6,5,6,5,5,8
6,5,7,6,5,6,8,8,6,5,4,8,4,5,4,4,7,7,7,8
6,4,8,8,8,4,7,4,5,5,6,7,5,6,7,5,6,8,7,4
4,6,7,8,8,6,5,8,6,6,7,8,4,7,4,5,4,5,7,5
6,4,6,7,4,6,5,8,5,8,6,5,8,7,8,5,7,7,4,4
5,5,7,7,7,6,4,5,7,5,8,4,6,8,4,6,8,8,4,6
8,4,8,8,5,4,6,7,4,5,6,7,6,7,8,5,4,5,7,6
7,6,5,8,5,7,8,4,4,6,4,6,5,6,4,8,7,7,5,8
8,4,8,7,5,7,6,4,4,5,6,7,4,5,7,8,8,5,6,6
8,7,5,4,5,6,8,4,7,7,8,6,6,8,7,4,5,5,4,6
5,8,4,7,6,4,7,6,5,7,6,4,8,7,8,5,8,4,6,5
8,5,5,8,6,7,6,8,4,7,5,6,5,8,4,4,7,6,4,7
6,6,6,5,7,8,7,6,4,4,4,8,7,5,8,7,5,8,5,4
6,7,6,7,5,5,4,8,8,7,6,8,4,5,7,5,4,4,8,6
7,6,6,4,8,5,7,7,4,8,8,5,6,5,4,4,6,5,8,7
4,6,7,5,6,7,4,7,8,6,8,7,4,4,6,8,8,5,5,5
6,7,6,8,4,6,7,5,5,4,8,8,4,7,5,6,8,5,7,4
5,6,5,8,5,6,6,7,6,4,8,4,7,5,8,7,4,8,4,7
5,8,5,4,8,5,6,7,6,4,4,7,4,6,7,8,6,7,8,5
8,6,5,4,4,6,5,6,5,8,7,5,4,4,7,6,8,8,7,7
8,5,8,6,6,5,8,6,4,8,6,5,7,4,7,4,5,7,7,4
7,4,7,4,6,8,4,7,5,8,6,5,8,7,5,4,6,8,5,6
7,5,5,8,5,8,8,4,8,4,6,4,6,6,5,7,7,7,4,6
6,4,7,5,7,8,8,4,6,5,8,7,6,4,8,5,6,7,4,5
6,5,7,6,8,6,5,7,4,6,4,8,7,5,8,4,5,7,8,4
6,7,6,4,6,8,8,4,6,7,8,4,7,7,5,5,5,4,5,8
4,6,5,6,8,6,7,5,7,5,8,7,5,7,6,4,4,4,8,8
7,8,7,4,6,5,4,4,6,8,8,5,7,5,6,5,6,7,4,8
8,6,7,8,4,7,5,6,8,5,7,4,5,8,4,6,4,7,6,5
7,4,8,8,6,7,7,8,6,4,6,8,5,5,5,4,7,6,5,4
8,6,4,8,4,7,7,7,4,6,6,6,5,7,4,5,8,5,5,8
7,8,8,5,4,4,8,4,5,7,4,6,8,7,6,6,5,5,7,6
5,6,7,5,5,8,4,8,4,6,8,6,4,7,7,6,8,5,4,7
5,8,6,7,7,5,8,6,4,8,6,8,4,5,7,6,4,5,4,7
4,8,4,4,6,4,5,5,7,7,6,5,8,8,6,7,8,5,7,6
4,4,6,8,6,5,4,7,7,4,8,6,7,5,8,6,5,8,5,7
6,4,5,5,4,7,6,8,7,5,8,4,8,4,7,6,8,7,6,5
4,6,4,5,6,8,7,8,7,8,5,4,5,6,7,7,4,8,5,6
5,7,7,6,4,6,6,5,4,8,5,5,6,4,5,4,7,7,6,7
6,6,8,4,4,5,6,8,7,7,5,6,4,5,5,8,4,7,8,7
4,4,8,5,4,5,6,6,7,6,5,6,8,5,8,7,7,8,4,7
7,5,6,7,4,8,7,6,5,4,5,6,8,5,4,4,8,8,6,7
8,7,6,7,8,7,6,4,6,8,4,8,4,6,5,7,5,5,4,5
8,4,8,5,4,5,8,6,6,7,7,8,4,6,7,5,5,7,4,6
4,5,7,7,6,4,5,6,8,4,8,4,8,5,8,7,5,6,7,6
4,7,4,7,5,8,5,7,4,8,6,6,7,5,8,8,5,6,6,4
4,7,6,5,5,7,8,4,6,4,6,8,5,5,7,8,6,7,8,4
5,4,6,8,7,8,8,5,5,5,6,7,8,6,7,7,4,6,4,4
5,7,7,6,5,6,8,7,5,4,7,8,6,5,8,4,6,4,8,4
6,6,6,5,8,8,5,8,4,4,4,5,7,7,7,8,4,5,7,6
5,5,5,7,6,5,6,6,7,7,4,4,4,8,8,6,4,7,8,8
6,5,6,7,4,8,4,7,8,8,6,8,5,4,6,7,7,5,4,5
7,5,6,8,6,8,5,4,7,7,4,4,4,8,5,7,6,8,6,5
7,7,6,6,7,6,4,5,4,8,4,5,8,8,6,4,5,8,7,5
8,8,7,6,5,5,5,8,6,7,4,8,7,6,4,5,7,4,4,6
7,5,8,5,7,8,7,4,5,6,6,8,5,7,8,6,4,4,4,6
4,7,7,6,7,8,8,5,5,6,6,7,5,8,8,4,4,5,4,6
8,4,5,5,7,4,5,7,4,5,6,7,6,6,8,4,8,8,6,7
5,7,8,5,6,6,8,4,5,4,7,8,5,6,8,6,7,4,7,4
4,6,4,6,6,7,4,7,8,7,8,4,8,8,5,7,5,5,5,6
