subject,version,assignmentId,instructions_time,total_time,gender,s1_bonus,write_down,comments,tr_choices,tr_rt,tr_resp,tr_resp2,tr_resp_correct,tr_resp2_correct,stamp,id
AMPMTF5IAAMK8,cs_wg_v3_pilot1,3T3IWE1XG6OW11B31A16ITJI928QTF,72953,2382298,Male,816,No,"I tried to remember, but wasn't very good at it.",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:02,266
A3BUWQ5C39GRQC,cs_wg_v3_pilot1,3HHRAGRYX86AWAP9OR4L2ON60UNO95,60884,2247303,Female,808,No,I tried to remember which words would fit the situation. ,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:06,267
A3MPHGI584PR1U,cs_wg_v3_pilot1,3VAR3R6G1P2AI56ZJZY72SSVGO5O8G,18297,2408779,Female,336,No,No.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:07,268
APR6H3HAOE9OU,cs_wg_v3_pilot1,3NOKK93PR195FF312OHBPQU3NPXEE1,70895,2526834,Male,295,No,"No comments, tried to rely on my memory.",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:07,269
A3FCZNB9E8K3CX,cs_wg_v3_pilot1,3PJ71Z61R43P0II8IP6AQSAY7JD913,43539,1966037,Female,245,No,I just tried my hardest to remember,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:19,270
"AGFWV1U4CJXP5",cs_wg_v3_pilot1,35K3O9HUABEXLT3XXZ1H78F3ZQCEFJ,731936,3557082,Female,195,No,,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:22,271
"DOORWAY = 2 pointsA1O0DVNTMUGRLK",cs_wg_v3_pilot1,352YTHGROVEZ7NXA3JD417FP2GVH4E,18414,2575122,Male,752,No,I accidentally click refresh on the web page and it brought me back to the beginning. Luckily I was only on part 1 and it was 12/112. In part 2 I Messed up in the beginning as I didn't remember as much word as I could and I felt rush but then I got the hang of it.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:27,272
A1OQ3KL56KMQSU,cs_wg_v3_pilot1,34X6J5FLPTZ2NYFYPGN2GNW9B0HJQ3,49284,1905590,Male,330,No,I tried to remember what words I used in part one and ran through the rules with the ones I remembered.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:41,273
A2106ZBHRHGX64,cs_wg_v3_pilot1,326O153BMIZ0N9P16T6RJ8CINDWED8,137792,3536468,Female,359,No,"I didn't have a strategy in part 2. Just had to think as carefully as I can about what position each letter is in the alphabet. I want to say that I realize that I may have calculated points incorrectly for some of the questions asked in part 2 (such as those asking with letters that are a certain distance from each other). I'd also like to say that in Part 1, I think points were being added incorrectly. No matter what choice I made (choosing a word vs. choosing a fixed amount of points), the ne",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:44,274
A2NQOD21QCRKG0,cs_wg_v3_pilot1,3E47SOBEYQX2YML92G17KHSSU6RCIF,98182,2676756,Female,890,No,"Initially, my strategy was just to remember words but I got stuck with only 4 of the 14 words being remembered.",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:49,275
A26UIS59SY4NM6,cs_wg_v3_pilot1,3IX2EGZR7BK2ZZUY2VC2LD6E7MJJR4,160401,2774075,Male,780,No,Just think of the best word for the situation.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 0:58,276
A2OO4PG3LBLP5I,cs_wg_v3_pilot1,3XUHV3NRVKZH361AHOWE6ZL32CQH5J,217740,2664375,Male,470,No,I simply tried my best to memorize and follow instructions. Enjoyed.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 1:01,277
A1YVMDRR9W1LZ1,cs_wg_v3_pilot1,3VSOLARPKBALALWN5TKTELPV53R93V,209975,2963752,Male,365,No,"Part 2 was sort of a rush for me, I started giving my answers to the questions some thoughts before answering the previous question, sort of just thinking through a few of the words and then going with whatever seemed best to me. I have always had a good memory so I love stuff like this.Also this may have just been a bug or a part of the study that I don't remember reading about but in Part 1 when I picked a word it would tell me that I picked the points and every round gave me 5 points. So if",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 1:13,278
A3JFIY1QXMX9ZF,cs_wg_v3_pilot1,3DL65MZB8DGQIHJN6XBGZ2U02DKEC8,54394,2976313,Male,806,No,"To be perfectly honest, there were a lot of issues with the study. The first is that I believe your time estimate is far too conservative. If you're paying attention and not rushing, I think it's very difficult to complete this in 45 minutes. The second, and far more important issue, is that I believe the HIT is bugged. No matter whether I chose to select the word or the 5 points, it would always only give me the 5 points. It didn't matter what button I pressed, it would tell me I selected 5 poi",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 1:23,279
A2TH9DIRISH8FE,cs_wg_v3_pilot1,36DSNE9QZ5ZZ2M2IA3VYRI19WZZJOV,1696607,3772258,Male,512,No,"part one was bugged. No matter what word I chose it would say ""you chose 5 points"" and then give me two points no matter what, so I just picked 5 points every time since that actually workedi had no strategy for part 2",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 1:23,280
A2B6WQG0A9CKXQ,cs_wg_v3_pilot1,3YJ6NA41JBHHNMEJP38DGI6Z64VJPC,67244,1875735,Female,832,No,"This was fun but difficult! I just tried to remember, but I don't have the greatest memory. I love word games though!",NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 2:01,281
A18T67NDI2JK5Y,cs_wg_v3_pilot1,3GA6AFUKOOPEPRE6358LR2NJOGZH3T,67910,2571327,Male,740,No,I just tried to remember the words as best as I could. I had forgotten them almost immediately after Part 1 so it took a second to remember them.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 2:27,282
A3TMUAPCRFG63N,cs_wg_v3_pilot1,3OE22WJIGIPB1EQS1FRGNP5KSGFQU6,337841,2960264,Male,260,No,I just tried to do the best I could with what I remembered.,NULL,NULL,NULL,NULL,NULL,NULL,3/23/17 2:36,283
