"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"A2TCOV49RNTECD","cs_wg_v7_pilot7","386PBUZZXFYRW1ZLXBF6Z1XH9WKJLK","0","Alphabet position of third letter.","0","[8,7,3,16,2,12,6,1,15,8,16,12]","0","5","1","14727","lipstick",,"180","0","0","2018-05-22 00:20:48","16965"
"AGFYWCPRQIB6O","cs_wg_v7_pilot7","3E337GFOL997TZC51IAIFG9QMZ3GNF","0","Alphabet position of third letter.","0","[8,7,3,16,2,12,6,1,15,8,16,12]","0","5","1","19473","LIPSTICK",,"180","0","0","2018-05-22 00:21:30","16966"
"ADJUMNMLC8H1I","cs_wg_v7_pilot7","3QFUFYSY9YGFTR648TP4YM3EU38F4K","0","Alphabet position of third letter.","0","[8,7,3,16,2,12,6,1,15,8,16,12]","0","5","1","22882","lipstick",,"180","0","0","2018-05-22 00:21:57","16967"
"A2TCOV49RNTECD","cs_wg_v7_pilot7","386PBUZZXFYRW1ZLXBF6Z1XH9WKJLK","0","Alphabet position of third-to-last letter.","1","[12,12,16,9,9,11,18,23,11,18,15,4]","1","20","0","38380","lipstick","lipstick","20","0","0","2018-05-22 00:22:00","16968"
"A28SVE690PQ5P7","cs_wg_v7_pilot7","3ZWFC4W1UU8MUX82J5LH6FEOMHSRFF","0","Alphabet position of third letter.","0","[19,20,24,11,25,15,21,26,12,19,11,15]","0","25","1","18270","CRAYON",,"180","1","1","2018-05-22 00:22:03","16969"
"A2YDA5EGPSTMCC","cs_wg_v7_pilot7","3WR9XG3T63C2EYRYQARSAUQXWFP748","0","Alphabet position of third letter.","0","[8,7,3,16,2,12,6,1,15,8,16,12]","0","5","1","21754","POPCORN",,"180","0","0","2018-05-22 00:22:23","16970"
"A1YI1H05AQ3ING","cs_wg_v7_pilot7","39K0FND3AHG01QE23H386F9NJEGMA9","0","Alphabet position of third letter.","0","[19,20,24,11,25,15,21,26,12,19,11,15]","0","25","1","82564","Crayon",,"180","1","0","2018-05-22 00:22:36","16971"
"AGFYWCPRQIB6O","cs_wg_v7_pilot7","3E337GFOL997TZC51IAIFG9QMZ3GNF","0","Alphabet position of third-to-last letter.","1","[12,12,16,9,9,11,18,23,11,18,15,4]","1","26","1","29995","LIPSTICK","Raze","20","0","0","2018-05-22 00:22:41","16972"
"A1ZLLV6DOKMLRO","cs_wg_v7_pilot7","3AQF3RZ558JT8EAIRHIJVKNSQUEF65","0","Alphabet position of third letter.","0","[19,20,24,11,25,15,21,26,12,19,11,15]","0","10","0","42589","Crayon",,"180","1","0","2018-05-22 00:22:51","16973"
"A28SVE690PQ5P7","cs_wg_v7_pilot7","3ZWFC4W1UU8MUX82J5LH6FEOMHSRFF","0","Alphabet position of third-to-last letter.","1","[15,15,11,18,18,16,9,4,16,9,12,23]","1","26","1","11287",,,"20","1","1","2018-05-22 00:22:56","16974"
