"subject","version","assignmentId","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","5","0","fippering",,"30241","2017-02-03 15:13:39","12"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","1","12","0","jackedreal",,"33393","2017-02-03 15:15:08","13"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","2","5","1","fippering",,"34430","2017-02-03 15:16:03","14"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","3","16","1","jackereed",,"22225","2017-02-03 15:16:37","15"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","4","5","1","jackdreed",,"30262","2017-02-03 15:17:29","16"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","5","24","1","fippering",,"42240","2017-02-03 15:18:28","17"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","6","20","1","fippering",,"23260","2017-02-03 15:19:17","18"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","7","8","1","jackdreed",,"13553","2017-02-03 15:19:49","19"
"ABMX8XUNPR3LP","cs_wg_v1_pilot1","34Q075JO1XE74OUVITNHXH95WK910B","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","8","16","1","jackdreed",,"6817","2017-02-03 15:20:18","20"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","5","0","fipped",,"16613","2017-02-03 15:24:25","21"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","1","12","0","vaxed",,"54511","2017-02-03 15:25:57","22"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","2","16","1","jugged",,"43371","2017-02-03 15:27:03","23"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","3","8","1","jeeted",,"21462","2017-02-03 15:27:42","24"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","0","8","0","Jaddeared",,"367333","2017-02-03 15:28:56","25"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","4","4","0","tug",,"51447","2017-02-03 15:29:10","26"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","1","12","0","Jaddeared",,"20337","2017-02-03 15:29:46","27"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","5","5","1","jeeded",,"50519","2017-02-03 15:30:26","28"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","2","5","1","Roaking",,"7044","2017-02-03 15:30:46","29"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","6","20","1","vaxed",,"4830","2017-02-03 15:31:00","30"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","0","8","1","pump",,"37600","2017-02-03 15:32:16","31"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","7","5","1","flanigan",,"51248","2017-02-03 15:32:25","32"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","3","5","1","Chaxed",,"64128","2017-02-03 15:32:43","33"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","1","8","0","pump",,"6927","2017-02-03 15:32:43","34"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","2","12","0","mug",,"4117","2017-02-03 15:33:17","35"
"AX06ZUCRNSGB3","cs_wg_v1_pilot1","39KFRKBFINWPXBXHW3W115GX18XOYL","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","8","20","0","grady",,"49936","2017-02-03 15:33:32","36"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","3","24","0","investment",,"5187","2017-02-03 15:33:36","37"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","4","4","0","may",,"3046","2017-02-03 15:34:20","38"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","5","20","0","glue",,"4941","2017-02-03 15:34:33","39"
