"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most letters come after the word's third letter in the alphabet.","2","[40,70,60,115,75,120,130,30,60,65,60,45,115,10,45,75,60,110,60,125]","0","30","0","wedding","wedding

","64100","2017-02-22 15:17:56","454"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,20,10,20,20,20,0,40,50,20,30,20,30,30,10,40,40,40]","1","60","1","bookshelf","bookshelf","63015","2017-02-22 15:19:29","455"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most vertical lines","5","[40,90,50,50,80,80,50,80,30,70,70,50,60,60,60,90,50,90,50,80]","2","40","1","community","bookshelf
community","62566","2017-02-22 15:21:01","456"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most letters before word's second letter in alphabet","3","[0,70,35,0,40,0,85,70,70,100,70,95,20,20,70,20,95,55,70,60]","3","40","0","sunlight",,"69327","2017-02-22 15:22:38","457"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most horizontal lines","6","[50,30,70,50,70,70,80,40,10,60,70,50,60,40,60,110,30,100,60,60]","4","60","0","elephant","keyboard
doorway
community
bookshelf
elephant","62501","2017-02-22 15:24:48","458"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most letters in alphabet between word's 4th and 5th letters","4","[30,40,60,5,55,5,0,30,25,15,40,90,25,65,5,30,60,40,90,65]","5","15","1","keyboard","sunrise
keyboard
elephant
doorway
bookshelf
","63287","2017-02-22 15:26:40","459"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most letters before word's second letter in alphabet","3","[0,70,35,0,40,0,85,70,70,100,70,95,20,20,70,20,95,55,70,60]","0","20","1","Sunlight","Comunity, Bookshelf, Sunlight","82318","2017-02-22 15:26:49","460"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most letters in alphabet between word's 4th and 5th letters","4","[30,40,60,5,55,5,0,30,25,15,40,90,25,65,5,30,60,40,90,65]","0","15","1","chocolate",,"61656","2017-02-22 15:28:09","461"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Most letters in the set: T, P, O, K, I, C, H.","1","[20,40,60,0,30,30,30,30,20,30,40,30,10,20,20,60,40,30,30,0]","6","30","1","bookshelf",,"102980","2017-02-22 15:28:41","462"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most letters in the set: T, P, O, K, I, C, H.","1","[20,40,60,0,30,30,30,30,20,30,40,30,10,20,20,60,40,30,30,0]","1","30","1","chocolate",,"61070","2017-02-22 15:29:23","463"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most vertical lines","5","[40,90,50,50,80,80,50,80,30,70,70,50,60,60,60,90,50,90,50,80]","1","40","1","COMMUNITY","COMMUNITY, FOOTBALL, ","113918","2017-02-22 15:29:40","464"
"A1Y55YV1WA1TTD","cs_wg_v2_real3","39DD6S19JPC3QAUXYBVOA0VL67WEZG","test","Memory","7","[0]","7","100","1",NULL,"keyboard, wedding, community, traffic, bookshelf, doorway, elephant, sunrise, mountain, military, chocolate, umbrella, helicopter, football, ","122016","2017-02-22 15:30:53","465"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most horizontal lines","6","[50,30,70,50,70,70,80,40,10,60,70,50,60,40,60,110,30,100,60,60]","2","40","0","machine",,"61669","2017-02-22 15:31:00","466"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most letters come after the word's third letter in the alphabet.","2","[40,70,60,115,75,120,130,30,60,65,60,45,115,10,45,75,60,110,60,125]","3","25","1","machine",,"61990","2017-02-22 15:32:24","467"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most horizontal lines","6","[50,30,70,50,70,70,80,40,10,60,70,50,60,40,60,110,30,100,60,60]","2","70","1","ELEPHANT","LADDER, FOOTBALL","79983","2017-02-22 15:32:58","468"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,20,10,20,20,20,0,40,50,20,30,20,30,30,10,40,40,40]","4","60","1","machine",,"61207","2017-02-22 15:33:42","469"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most letters in the set: T, P, O, K, I, C, H.","1","[20,40,60,0,30,30,30,30,20,30,40,30,10,20,20,60,40,30,30,0]","3","30","1","Chocolate","Ladder, Chocolate, Football","67593","2017-02-22 15:34:54","470"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most letters before word's second letter in alphabet","3","[0,70,35,0,40,0,85,70,70,100,70,95,20,20,70,20,95,55,70,60]","5","20","1","mountain",,"74724","2017-02-22 15:35:11","471"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,20,10,20,20,20,0,40,50,20,30,20,30,30,10,40,40,40]","4","60","1","Football","Ladder","61217","2017-02-22 15:36:32","472"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Most vertical lines","5","[40,90,50,50,80,80,50,80,30,70,70,50,60,60,60,90,50,90,50,80]","6","70","0","mountain",,"61570","2017-02-22 15:36:39","473"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most letters come after the word's third letter in the alphabet.","2","[40,70,60,115,75,120,130,30,60,65,60,45,115,10,45,75,60,110,60,125]","5","25","1","Ladder","Ladder","61730","2017-02-22 15:38:11","474"
"A610SH5RY1NG1","cs_wg_v2_real3","3IGI0VL647LVLCT3P1NQKPIQ0VUOND","test","Memory","7","[0]","7","100","1",NULL,"chocolate, mountain, machine, bookshelf, ","121994","2017-02-22 15:38:51","475"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Most letters in alphabet between word's 4th and 5th letters","4","[30,40,60,5,55,5,0,30,25,15,40,90,25,65,5,30,60,40,90,65]","6","20","0","Chocolate","I can't remember any more words. I might have to repeat a word.","74080","2017-02-22 15:40:09","476"
"A2WT6FV92737W6","cs_wg_v2_real3","3XC1O3LBOSNLA4VQ95TA17KOU8BLTU","test","Memory","7","[0]","7","100","1",NULL,"ladder, chocolate, community, football, elephant, doorway, umbrella, stomach, military","159214","2017-02-22 15:43:15","477"
"ACN0C9HPYDTED","cs_wg_v2_real3","3P1L2B7AD1Q5XCQIDO7B7XE1V0UOLB","test","Most letters in the set: T, P, O, K, I, C, H.","1","[20,40,60,0,30,30,30,30,20,30,40,30,10,20,20,60,40,30,30,0]","0","30","1","Mountain","I'm having a mental block!","97674","2017-02-22 15:44:37","478"
"ACN0C9HPYDTED","cs_wg_v2_real3","3P1L2B7AD1Q5XCQIDO7B7XE1V0UOLB","test","Most letters before word's second letter in alphabet","3","[0,70,35,0,40,0,85,70,70,100,70,95,20,20,70,20,95,55,70,60]","1","25","0","Building",,"79837","2017-02-22 15:46:28","479"
