"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","49311","908548","Male","958","Yes","Yes","GOOD",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:31:46","5794"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","82414","974701","Female","1129","No","No","I just went in the order of the months and May is obviously as far as I was gonna get considering no month has the letter z in it.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:32:25","5795"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","96299","1001099","Female","1132","No","No","I started going through the months in my head from the beginning. When I got to March, I figured that was a good answer. I should have gone to May.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:32:27","5796"
"A1FYWSPNO7KN1O","cs_wg_full_v4_conf_pilot4","3M68NM076H8QB4FRICIDC91CEVAR6A","89297","892077","Male","1109","No","No","I started with August then just replaced August with the next best until I worried I might not have time to actually type the word in. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:32:53","5797"
"A2EJ7U3TZAKROG","cs_wg_full_v4_conf_pilot4","3JRJSWSMQHM25HN4D40F6ZQ9PFIE3E","83087","1011242","Male","1122","No","No","""May"" popped in my mind right away. Since there are no months with ""z"" in them, it was pretty easy.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:33:12","5798"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","68812","1057558","Female","1137","No","No","I just jumped in with no strategy. In hindsight, I should have just listed the months in my head in order.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:33:12","5799"
"A1KQV9A4YITCSJ","cs_wg_full_v4_conf_pilot4","3VHP9MDGRNLIOVJJ18VMHKF37TACFS","110389","1033142","Female","955","No","No","It was confusing. I think i did okay",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:33:36","5800"
"A1PNA73BDOEU4X","cs_wg_full_v4_conf_pilot4","32Q90QCQ1SM81FVBYASENL7B014KEV","110224","825245","Male","833","Yes","No","NICE STUDY ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:34:20","5801"
"AD86UQ62HUAJN","cs_wg_full_v4_conf_pilot4","33L7PJKHCGZQVXB7FGK6W2YL8BXT8B","120488","1093620","Male","1073","No","No","I didn't really have a strategy. I just hoped I was gonna be able to figure out the right word/letter before my time had expired.  ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:35:08","5802"
"A3HMDGRGC5JB7E","cs_wg_full_v4_conf_pilot4","3KB8R4ZV1E85SQN8YS59OL9XQNAGBO","51438","610298","Female","1046","No","No","I picked the shortest word, and it ended with the 25th letter in the alphabet.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:35:57","5803"
"A2DHKTD1GSBXR2","cs_wg_full_v4_conf_pilot4","3OHYZ19UGC6O1TZEGXILYJYTZRGOAO","66181","1145961","Male","1133","No","No","I just rifled through all the months in my head and quickly removed ones such as feB, juL, auG, deC, etc. Until I came up with MAY",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:35:58","5804"
"A6416P85A3C3E","cs_wg_full_v4_conf_pilot4","352YTHGROVEZ7NXA3JD417FSVV6H4I","53468","926565","Male","864","Yes","No","VERY GOOD SURVEY,I USE THE STRATEGY AS PER INSTRUCTION ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:36:36","5805"
"A2XNOJZEAY4WFJ","cs_wg_full_v4_conf_pilot4","3VAR3R6G1P2AI56ZJZY72SSY93GO8K","151889","1256276","Male","1132","No","No","This study was fun and enjoyable. My strategy for the ""third letter"" was to just start from the first month of January and go on from there. When I got to May, I knew there would be no other month with ""Z"" so I just chose May.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:36:50","5806"
"A36ES9KTXHWW1O","cs_wg_full_v4_conf_pilot4","30MVJZJNHMEWVZYC8ECGUS6NUFOJ9L","66225","1250363","Male","885","Yes","Yes","nice to work",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-15 19:37:42","5807"
