AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Actual Completion Code,,,
A3J5KTBHZI60H,3NLZY2D53PQ8IO3YS1ZFW2918BCQL3,2111,2/8/2017 4:06:20 PM,2/8/2017 4:41:32 PM,Approved,3.01,0.00,GFLS23ADX,
A2F9V69F6TZIAB,3P4RDNWND57P60RFC8IT7L5NDCQIJQ,4435,2/8/2017 4:45:59 PM,2/8/2017 5:59:55 PM,Approved,3.01,0.00,GFLS23ADX,
A3S300T3IVQ2GC,3XC1O3LBOSNLA4VQ95TA17KOSIBTLK,2826,2/8/2017 4:08:09 PM,2/8/2017 4:55:15 PM,Approved,3.01,0.00,GFLS23ADX,
A1CSDIX05PK9V,3NQL1CS15R9KNV6EXFIFWXA5YIVVYU,3647,2/8/2017 4:13:54 PM,2/8/2017 5:14:41 PM,Approved,3.01,0.00,GFLS23ADX,
A1AYWUSULABAXL,36V4Q8R5ZK1SO6LJSD0UWFOQ8G2QM5,17929,2/8/2017 4:24:23 PM,2/8/2017 9:23:13 PM,Approved,3.01,0.00,GFLS23ADX,
A273EH17NSJRH0,317HQ483I7TLPQI0R6AL0SM4MWVINU,10563,2/8/2017 4:06:20 PM,2/8/2017 7:02:23 PM,Approved,3.01,0.00, GFLS23ADX,
A32QJF67JMJFKX,3JV9LGBJWTFPBKCH2XAVU59TXT8GOF,3933,2/8/2017 4:06:20 PM,2/8/2017 5:11:54 PM,Approved,3.01,0.00,GFLS23ADX,
A2ADEPVGNNXNPA,3PZDLQMM0TMYN177DDGFX1LBYWKC2V,6043,2/8/2017 4:06:19 PM,2/8/2017 5:47:03 PM,Approved,3.01,0.00,GFLS23ADX,
A2IQ0QCTQ3KWLT,358010RM5EUVNQG4SJWDDJ3WWC1VXO,6895,2/8/2017 5:36:33 PM,2/8/2017 7:31:29 PM,Approved,3.01,0.00, GFLS23ADX,

