Subj,Trial,Choice,MFval,MBval,MF_top,MB_top
1,1,14,0.5,1,1,1
1,2,17,-0.4,0.7,0,1
1,3,17,-0.4,0.9,0,1
1,4,24,0.2,1,1,1
1,5,9,-0.5,0.9,0,1
1,6,22,-0.3,0.8,0,1
1,7,5,0.2,1,1,1
1,8,24,0.2,0.6,1,1
1,9,11,0.5,0.7,1,1
1,10,11,0.5,0.9,1,1
1,11,29,0.3,1,1,1
1,12,18,0.1,0.8,1,1
1,13,23,-0.1,0.9,0,1
1,14,14,0.5,0.7,1,1
1,15,21,-0.4,1,0,1
2,1,13,0.5,1,1,1
2,2,3,-0.5,0.9,0,1
2,3,17,0.5,0.9,1,1
2,4,20,0.3,1,1,1
2,5,12,0.2,0.9,1,1
2,6,1,-0.2,1,0,1
2,7,5,0,1,1,1
2,8,12,0.2,1,1,1
2,9,2,0.1,1,1,1
2,10,28,0.2,1,1,1
2,11,18,0,0.9,1,1
2,12,1,-0.2,0.9,0,1
2,13,19,0.3,1,1,1
2,14,19,0.3,1,1,1
2,15,25,-0.2,0.9,0,1
3,1,14,0.1,1,1,1
3,2,12,-0.1,1,0,1
3,3,17,-0.5,0.9,0,1
3,4,4,0.4,1,1,1
3,5,29,0.4,0.9,1,1
3,6,1,0,1,0,1
3,7,1,0,1,0,1
3,8,12,-0.1,1,0,1
3,9,12,-0.1,0.9,0,1
3,10,28,0.4,1,1,1
3,11,11,-0.2,1,0,1
3,12,4,0.4,1,1,1
3,13,19,-0.5,1,0,1
3,14,19,-0.5,1,0,1
3,15,24,0.4,1,1,1
4,1,15,0.4,0.9,1,1
4,2,19,-0.1,0.6,1,1
4,3,18,0.3,0.9,1,1
4,4,19,-0.1,0.3,1,1
4,5,29,-0.1,0.9,0,1
4,6,1,-0.1,1,1,1
4,7,6,-0.4,0.6,0,1
4,8,5,0.2,1,1,1
4,9,18,0.3,0.6,1,1
4,10,19,-0.1,0.9,1,1
4,11,24,-0.5,0.9,0,1
4,12,2,0.1,1,1,1
4,13,13,0.1,0.9,1,1
4,14,18,0.3,0.8,1,1
4,15,16,-0.5,1,0,1
5,1,13,-0.3,1,0,1
5,2,12,-0.4,1,0,1
5,3,10,0.2,0.6,1,1
5,4,16,-0.4,0.2,0,0
5,5,23,-0.1,0.9,0,1
5,6,9,0.2,0.7,1,1
5,7,5,-0.1,1,0,1
5,8,12,-0.4,1,0,1
5,9,11,-0.5,0.7,0,1
5,10,16,-0.4,0.4,0,0
5,11,14,-0.2,0.7,0,1
5,12,16,-0.4,0.7,0,1
5,13,1,-0.5,0.8,0,1
5,14,8,0.2,0.8,1,1
5,15,29,0,0.2,0,0
6,1,8,0.5,1,1,1
6,2,12,0.4,1,1,1
6,3,17,-0.3,0.9,0,1
6,4,20,-0.4,1,0,1
