Subj,Trial,Choice,MFval,MBval,MF_top,MB_top
1,1,25,0.5,0.7,1,1
1,2,12,0.4,1,1,1
1,3,30,0.1,0.7,1,1
1,4,20,-0.5,1,0,1
1,5,18,0.1,0.9,0,1
1,6,22,-0.3,0.8,0,1
1,7,1,0.5,1,1,1
1,8,5,0.2,1,1,1
1,9,26,0.1,0.9,1,1
1,10,1,0.5,0.7,1,1
1,11,5,0.2,0.9,1,1
1,12,4,0.5,1,1,1
1,13,18,0.1,0.6,0,0
1,14,14,0.5,0.7,1,1
1,15,22,-0.3,0.3,0,0
2,1,8,0.2,1,1,1
2,2,20,0.3,0.9,1,1
2,3,11,-0.3,0.9,0,1
2,4,20,0.3,1,1,1
2,5,25,-0.2,1,0,1
2,6,4,0.2,0.7,1,1
2,7,17,0.5,0.8,1,1
2,8,21,0.4,0.8,1,1
2,9,12,0.2,0.9,1,1
2,10,29,-0.4,0.9,0,1
2,11,24,0.4,0.9,1,1
2,12,16,-0.5,0.7,0,1
2,13,13,0.5,0.9,1,1
2,14,1,-0.2,1,0,1
2,15,21,0.4,1,1,1
3,1,8,-0.3,1,0,1
3,2,12,-0.1,1,0,1
3,3,17,-0.5,0.9,0,1
3,4,17,-0.5,1,0,1
3,5,12,-0.1,0.9,0,1
3,6,26,0.2,0.9,1,1
3,7,10,0.5,0.6,1,1
3,8,5,0.2,1,1,1
3,9,25,0.4,0.6,1,1
3,10,29,0.4,0.9,1,1
3,11,4,0.4,0.6,1,1
3,12,3,0.2,0.9,1,1
3,13,1,0,0.8,0,1
3,14,19,-0.5,1,0,1
3,15,16,0.1,1,1,1
4,1,17,-0.3,1,0,1
4,2,14,0.2,0.7,1,1
4,3,2,0.1,0.4,1,1
4,4,4,-0.4,1,0,1
4,5,22,-0.4,0.6,0,0
4,6,22,-0.4,0.8,0,1
4,7,4,-0.4,0.6,0,1
4,8,5,0.2,1,1,1
4,9,17,-0.3,1,0,1
4,10,6,-0.4,0.6,0,1
4,11,18,0.3,0.9,1,1
4,12,4,-0.4,1,0,1
4,13,9,0.4,1,1,1
4,14,19,-0.1,1,0,1
4,15,18,0.3,0.5,1,1
5,1,8,0.2,1,1,1
5,2,14,-0.2,0.7,0,1
5,3,5,-0.1,0.6,0,1
5,4,18,0.4,0.2,1,0
5,5,25,0.4,1,1,1
5,6,10,0.2,0.5,1,1
5,7,13,-0.3,0.6,0,1
5,8,28,-0.2,0.3,0,0
5,9,21,-0.3,0.2,0,0
5,10,17,0.4,0.9,1,1
5,11,28,-0.2,0.8,0,1
5,12,30,-0.3,0.7,0,1
5,13,14,-0.2,0.4,0,0
5,14,1,-0.5,1,0,1
5,15,26,0.2,0.4,1,0
6,1,5,-0.2,0.8,0,1
6,2,12,0.4,1,1,1
6,3,17,-0.3,0.9,0,1
6,4,25,0.1,0.9,0,1
6,5,26,0.3,0.9,1,1
6,6,25,0.1,0.8,0,1
6,7,15,0.4,0.9,1,1
6,8,19,0,0.6,0,1
6,9,12,0.4,0.9,1,1
6,10,19,0,0.9,0,1
6,11,27,0.4,0.8,1,1
6,12,19,0,0.6,0,0
6,13,21,0.4,0.3,1,0
6,14,9,-0.2,0.5,0,1
6,15,28,0.4,0.4,1,0
7,1,14,0.1,1,1,1
7,2,12,0.5,1,1,1
7,3,12,0.5,0.4,1,0
7,4,16,0.2,0.2,1,0
7,5,9,0.2,0.9,1,1
7,6,1,0.3,1,1,1
7,7,12,0.5,0.6,1,1
7,8,21,-0.1,0.8,1,1
7,9,17,0.2,1,1,1
