Subj,Trial,Choice,MFval,MBval,MF_top,MB_top
1,1,15,0.4,0.9,1,1
1,2,11,0.5,0.7,1,1
1,3,25,0.5,0.7,1,1
1,4,28,0.2,0.1,1,0
1,5,6,0.4,0.4,1,0
1,6,28,0.2,0.1,1,0
1,7,2,0,0.2,0,0
1,8,1,0.5,0.5,1,0
1,9,28,0.2,0.2,1,0
1,10,11,0.5,0.9,1,1
1,11,28,0.2,0.8,1,1
1,12,1,0.5,0.9,1,1
1,13,12,0.4,0.9,1,1
1,14,1,0.5,1,1,1
1,15,18,0.1,0.5,0,1
2,1,7,0.2,0.3,1,0
2,2,21,0.4,0.6,1,1
2,3,19,0.3,0.8,1,1
2,4,13,0.5,0.8,1,1
2,5,17,0.5,0.4,1,0
2,6,17,0.5,0.1,1,0
2,7,21,0.4,0,1,0
2,8,19,0.3,0.6,1,1
2,9,17,0.5,1,1,1
2,10,13,0.5,0.8,1,1
2,11,13,0.5,0.2,1,0
2,12,7,0.2,0.6,1,1
2,13,9,-0.5,1,0,1
2,14,17,0.5,0.1,1,0
2,15,2,0.1,0,1,0
3,1,25,0.4,0.7,1,1
3,2,29,0.4,0.7,1,1
3,3,16,0.1,0.2,1,0
3,4,24,0.4,1,1,1
3,5,25,0.4,1,1,1
3,6,18,0.4,0.3,1,0
3,7,26,0.2,0.4,1,0
3,8,10,0.5,0.7,1,1
3,9,10,0.5,0.2,1,0
3,10,28,0.4,1,1,1
3,11,29,0.4,1,1,1
3,12,24,0.4,0.7,1,1
3,13,24,0.4,0.8,1,1
3,14,10,0.5,0.5,1,1
3,15,13,0.4,0.5,1,1
4,1,15,0.4,0.9,1,1
4,2,23,0.2,0,1,0
4,3,11,0.3,0.9,1,1
4,4,20,0.4,1,1,1
4,5,14,0.2,0.5,1,0
4,6,24,-0.5,0.3,0,0
4,7,21,0.5,0,1,0
4,8,10,-0.5,0.7,0,1
4,9,12,-0.1,0.9,1,1
4,10,19,-0.1,0.9,0,1
4,11,18,0.3,0.9,1,1
4,12,30,-0.1,0.7,0,1
4,13,5,0.2,0.9,1,1
4,14,23,0.2,0.1,1,0
4,15,26,0.1,0.4,1,1
5,1,25,0.4,0.7,1,1
5,2,17,0.4,0.7,1,1
5,3,27,0.4,0.9,1,1
5,4,8,0.2,0.7,1,1
5,5,25,0.4,1,1,1
5,6,13,-0.3,1,0,1
5,7,10,0.2,0.6,1,1
5,8,2,0.3,0.6,1,1
5,9,5,-0.1,0.6,0,1
5,10,29,0,0.9,1,1
5,11,18,0.4,0.9,1,1
5,12,2,0.3,1,1,1
5,13,30,-0.3,0,0,0
5,14,6,0.4,0.5,1,1
5,15,6,0.4,0.2,1,0
6,1,22,0.4,0.8,1,1
6,2,26,0.3,0.1,1,0
6,3,30,0.4,0.7,1,1
6,4,28,0.4,0.1,1,0
6,5,29,0.1,0.9,0,1
6,6,2,0.2,0.5,1,1
6,7,16,0.2,0.4,1,0
6,8,12,0.4,1,1,1
6,9,9,-0.2,0.2,0,0
6,10,2,0.2,1,1,1
6,11,16,0.2,0.7,1,1
6,12,8,0.5,0.7,1,1
6,13,22,0.4,0.2,1,0
6,14,17,-0.3,0.1,0,0
6,15,25,0.1,0.9,0,1
7,1,30,0.4,0.7,1,1
7,2,21,-0.1,0.6,1,1
7,3,12,0.5,0.4,1,0
7,4,17,0.2,1,1,1
7,5,25,0.4,1,1,1
7,6,20,-0.1,1,0,1
7,7,20,-0.1,0.5,0,0
7,8,16,0.2,0.1,1,0
7,9,25,0.4,0.6,1,1
7,10,30,0.4,0.4,1,0
7,11,21,-0.1,0.1,0,0
7,12,17,0.2,0.4,1,0
7,13,2,-0.5,0.2,0,0
7,14,1,0.3,1,1,1
7,15,6,-0.4,0.2,0,0
8,1,1,0,0.1,1,0
8,2,30,0.4,0.4,1,0
8,3,15,-0.2,0.4,0,0
8,4,18,0.4,0.2,1,0
8,5,20,0.2,0,1,0
8,6,16,-0.2,0.6,0,1
8,7,25,0.4,0.3,1,0
8,8,13,0.2,0.5,1,0
8,9,30,0.4,0.4,1,0
8,10,13,0.2,0.8,1,1
8,11,18,0.4,0.9,1,1
8,12,11,0.2,0,1,0
8,13,18,0.4,0.6,1,0
8,14,23,0.5,0.1,1,0
8,15,27,0.3,0.4,1,1
9,1,7,0.4,0.3,1,0
9,2,27,0.1,0.2,0,0
9,3,23,0.4,0.2,1,0
9,4,5,0.3,0.2,1,0
9,5,3,0.5,0.1,1,0
9,6,13,0,1,0,1
9,7,9,0.4,0.8,1,1
9,8,5,0.3,1,1,1
9,9,26,0.5,0.9,1,1
9,10,26,0.5,0.9,1,1
9,11,9,0.4,0.4,1,0
9,12,14,0.4,0.3,1,0
9,13,18,0.3,0.6,1,1
9,14,4,0.2,0.5,1,0
9,15,26,0.5,0.4,1,0
10,1,19,0.3,0.3,1,0
10,2,9,0.4,0.4,1,0
10,3,6,0.5,0.2,1,0
10,4,20,0.1,1,0,1
10,5,4,0.5,0,1,0
10,6,17,0.3,0.1,1,0
10,7,9,0.4,0.8,1,1
10,8,27,0.2,0.7,1,1
10,9,4,0.5,0.7,1,1
10,10,22,0.5,0.3,1,0
10,11,7,0.3,0.2,1,0
10,12,11,0.2,0,1,0
10,13,23,0.5,0.9,1,1
10,14,23,0.5,0.1,1,0
10,15,22,0.5,0.3,1,0
11,1,19,0.5,0.3,1,0
11,2,25,0.2,0.5,1,1
11,3,21,0.5,0,1,0
11,4,14,0.2,0.2,1,0
11,5,6,0.5,0.4,1,0
11,6,2,0.3,0.5,1,1
11,7,12,0.3,0.6,1,1
11,8,2,0.3,0.6,1,1
11,9,2,0.3,1,1,1
11,10,21,0.5,0.7,1,1
11,11,15,-0.3,0.4,0,0
11,12,11,0.5,0,1,0
11,13,7,0.4,0.9,1,1
11,14,19,0.5,1,1,1
11,15,6,0.5,0.2,1,0
12,1,13,0.3,1,1,1
12,2,17,0.4,0.7,1,1
12,3,13,0.3,0.5,1,1
12,4,26,0.2,0.6,1,1
12,5,7,0.5,0.4,1,0
12,6,12,-0.2,0.4,0,0
12,7,21,0.2,0,1,0
12,8,2,0.3,0.6,1,1
12,9,7,0.5,0.6,1,1
12,10,10,0.3,0.9,1,1
12,11,8,0.5,0,1,0
12,12,8,0.5,0.7,1,1
12,13,17,0.4,0.6,1,0
12,14,15,0.3,0.1,1,0
12,15,17,0.4,0.9,1,1
13,1,2,0.4,0.6,1,1
13,2,7,0.5,0.3,1,0
13,3,7,0.5,0.6,1,1
13,4,27,0.1,0.1,1,0
13,5,2,0.4,0.8,1,1
13,6,7,0.5,0.5,1,1
13,7,10,0.3,0.6,1,1
13,8,27,0.1,0.7,1,1
13,9,3,0.5,0.4,1,0
13,10,21,0.4,0.7,1,1
13,11,2,0.4,0.2,1,0
13,12,1,0.4,0.9,1,1
13,13,21,0.4,0.3,1,0
13,14,16,0.1,0.2,1,0
13,15,1,0.4,0.5,1,1
14,1,18,0.5,0.2,1,0
14,2,18,0.5,0.1,1,0
14,3,3,-0.4,0.2,0,0
14,4,1,0.5,0,1,0
14,5,24,0,0.7,1,1
14,6,1,0.5,1,1,1
14,7,24,0,0.1,1,0
14,8,25,-0.1,0.9,0,1
14,9,2,0,1,1,1
14,10,15,-0.5,0.4,0,0
14,11,29,0.4,1,1,1
14,12,18,0.5,0.8,1,1
14,13,18,0.5,0.6,1,0
14,14,1,0.5,1,1,1
14,15,29,0.4,0.2,1,0
15,1,11,0.1,0.4,0,0
15,2,30,0.3,0.4,0,0
15,3,1,0.5,0.4,1,1
15,4,12,0.4,0.8,1,1
15,5,24,0.3,0.7,1,1
15,6,10,0.3,0.5,0,1
15,7,4,0,0.6,0,1
15,8,8,0.5,0.3,1,0
15,9,21,0.5,0.2,1,0
15,10,25,0.5,0.9,1,1
15,11,25,0.5,0.5,1,1
15,12,1,0.5,0.9,1,1
15,13,12,0.4,0.9,1,1
15,14,1,0.5,1,1,1
15,15,26,0.4,0.4,1,1
16,1,22,0.4,0.8,1,1
16,2,13,0.3,0.2,1,0
16,3,4,0.2,0.3,1,0
16,4,16,0.5,0.2,1,0
16,5,6,0.2,0.4,1,0
16,6,26,0.3,0.9,1,1
16,7,17,0.3,0.8,1,1
16,8,10,0.3,0.7,1,1
16,9,15,-0.5,0.5,0,1
16,10,22,0.4,0.3,1,0
16,11,29,0.1,1,0,1
16,12,16,0.5,0.7,1,1
16,13,16,0.5,0.2,1,0
16,14,10,0.3,0.5,1,1
16,15,22,0.4,0.3,1,0
17,1,13,0.3,1,1,1
17,2,16,0.3,0.4,1,0
17,3,27,0.5,0.9,1,1
17,4,25,0.1,0.9,0,1
17,5,27,0.5,0.8,1,1
17,6,13,0.3,1,1,1
17,7,14,0.1,0.8,0,1
17,8,23,-0.1,0.5,0,0
17,9,7,0.1,0.6,1,1
17,10,30,0.1,0.4,0,0
17,11,12,0.5,0.9,1,1
17,12,12,0.5,0.7,1,1
17,13,22,-0.3,0.2,0,0
17,14,13,0.3,0.2,1,0
17,15,17,0.2,0.9,1,1
18,1,14,0.3,1,1,1
18,2,12,0.5,1,1,1
18,3,26,-0.4,0,0,0
18,4,14,0.3,0.2,1,0
18,5,23,0.4,0.9,1,1
18,6,29,0.3,0.2,1,0
18,7,5,-0.2,1,0,1
18,8,23,0.4,0.5,1,0
18,9,23,0.4,0,1,0
18,10,28,0.3,1,1,1
18,11,12,0.5,0.9,1,1
18,12,23,0.4,0.8,1,1
18,13,23,0.4,0.9,1,1
18,14,12,0.5,0.6,1,1
18,15,23,0.4,0,1,0
19,1,12,0.4,0.8,1,1
19,2,28,0.2,0.3,1,0
19,3,12,0.4,0.4,1,1
19,4,29,0.5,0.1,1,0
19,5,1,0.5,0.7,1,1
19,6,4,0.3,0.7,1,1
19,7,28,0.2,0.5,1,1
19,8,14,0,0.6,0,1
19,9,20,0.5,0.2,1,0
19,10,20,0.5,0.3,1,0
19,11,29,0.5,1,1,1
19,12,6,0.2,0.5,1,0
19,13,13,0.4,0.9,1,1
19,14,22,0.5,0.7,1,1
19,15,1,0.5,0.5,1,1
20,1,30,0.3,0.7,1,1
20,2,25,0.5,0.5,1,1
20,3,9,0.4,0.4,1,0
20,4,25,0.5,0.9,1,1
20,5,15,0.2,0.3,1,0
20,6,14,0.2,0.4,1,0
20,7,16,0.2,0.4,1,0
20,8,29,0.5,0.3,1,0
20,9,13,0.3,0.2,1,0
20,10,29,0.5,0.9,1,1
20,11,18,0.1,0.9,0,1
20,12,17,0,0.4,0,0
20,13,12,0.4,0.9,1,1
20,14,23,-0.5,0.1,0,0
20,15,29,0.5,0.2,1,0
21,1,8,0.5,1,1,1
21,2,16,0.3,0.4,1,0
21,3,17,0.1,0.9,1,1
21,4,16,0.3,0.2,1,0
21,5,19,0.5,0.5,1,0
21,6,15,0.5,0.4,1,0
21,7,11,0.4,0.3,1,0
21,8,15,0.5,0.3,1,0
21,9,15,0.5,0.5,1,1
21,10,20,0.3,0.3,1,0
21,11,14,0.4,0.7,1,1
21,12,8,0.5,0.7,1,1
21,13,12,0.3,0.9,1,1
21,14,15,0.5,0.1,1,0
21,15,15,0.5,0.4,1,0
22,1,13,0.5,1,1,1
22,2,3,0.4,0.9,1,1
22,3,13,0.5,0.5,1,1
22,4,3,0.4,0.2,1,0
22,5,3,0.4,0.1,1,0
22,6,13,0.5,1,1,1
22,7,12,0,0.6,1,1
22,8,2,-0.1,0.6,0,1
22,9,13,0.5,0.2,1,0
22,10,4,0.4,0.4,1,0
22,11,5,0.2,0.9,1,1
22,12,13,0.5,0.4,1,0
22,13,3,0.4,0.8,1,1
22,14,19,0.1,1,1,1
22,15,16,0,1,1,1
23,1,24,0.5,0,1,0
23,2,28,0.3,0.3,1,0
23,3,24,0.5,0.8,1,1
23,4,6,0.3,0.2,1,0
23,5,24,0.5,0.7,1,1
23,6,19,0.4,0.1,1,0
23,7,19,0.4,0.5,1,1
23,8,8,-0.1,0.3,1,0
23,9,15,0.5,0.5,1,1
23,10,26,0.5,0.9,1,1
23,11,26,0.5,0,1,0
23,12,24,0.5,0.7,1,1
23,13,11,0.4,0.6,1,0
23,14,26,0.5,0.5,1,0
23,15,6,0.3,0.2,1,0
24,1,24,0.2,0,1,0
24,2,7,0.5,0.3,1,0
24,3,2,0.3,0.4,1,1
24,4,13,0.1,0.8,1,1
24,5,7,0.5,0.4,1,0
24,6,7,0.5,0.5,1,1
24,7,3,0.5,0.3,1,0
24,8,25,0.5,0.9,1,1
24,9,7,0.5,0.6,1,1
24,10,2,0.3,1,1,1
24,11,11,-0.2,1,0,1
24,12,3,0.5,0.9,1,1
24,13,24,0.2,0.8,1,1
24,14,24,0.2,0.1,1,0
24,15,15,0.4,0.4,1,1
25,1,23,0.2,0.1,1,0
25,2,23,0.2,0,1,0
25,3,30,0.5,0.7,1,1
25,4,12,0.2,0.8,1,1
25,5,2,0.5,0.8,1,1
25,6,18,0.3,0.3,1,0
25,7,10,-0.5,0.6,0,1
25,8,11,0.5,0.8,1,1
25,9,5,0.1,0.6,1,1
25,10,20,0.4,0.3,1,0
25,11,2,0.5,0.2,1,0
25,12,22,-0.3,0.4,0,0
25,13,11,0.5,0.6,1,0
25,14,18,0.3,0.8,1,1
25,15,2,0.5,0,1,0
26,1,7,0.2,0.3,1,0
26,2,22,0.4,0.8,1,1
26,3,21,0.4,0,1,0
26,4,6,0.4,0.2,1,0
26,5,21,0.4,0.7,1,1
26,6,8,0.5,0.9,1,1
26,7,12,0.5,0.6,1,1
26,8,2,0.5,0.6,1,1
26,9,8,0.5,0.1,1,0
26,10,2,0.5,1,1,1
26,11,2,0.5,0.2,1,0
26,12,12,0.5,0.7,1,1
26,13,8,0.5,0.7,1,1
26,14,17,0.5,0.1,1,0
26,15,17,0.5,0.9,1,1
27,1,6,0.4,0.5,1,0
27,2,16,0.4,0.4,1,0
27,3,17,0.5,0.9,1,1
27,4,8,0.1,0.7,1,1
27,5,16,0.4,0.6,1,0
27,6,22,0.5,0.8,1,1
27,7,22,0.5,0.4,1,0
27,8,1,0.5,0.5,1,0
27,9,22,0.5,0.6,1,1
27,10,1,0.5,0.7,1,1
27,11,6,0.4,0.7,1,1
27,12,28,0.3,0.3,1,0
27,13,3,0.4,0.8,1,1
27,14,1,0.5,1,1,1
27,15,1,0.5,0.5,1,1
28,1,19,0.4,0.3,1,0
28,2,11,0.4,0.7,1,1
28,3,28,0.5,0.7,1,1
28,4,30,0.1,0.3,1,1
28,5,11,0.4,0.7,1,1
28,6,13,0.3,1,1,1
28,7,28,0.5,0.5,1,0
28,8,28,0.5,0.3,1,0
28,9,15,0.4,0.5,1,1
28,10,4,0.3,0.4,1,0
28,11,19,0.4,0,1,0
28,12,28,0.5,0.3,1,0
28,13,28,0.5,0.9,1,1
28,14,19,0.4,1,1,1
28,15,4,0.3,0.3,1,0
29,1,28,0,0.7,0,1
29,2,22,0.3,0.8,1,1
29,3,25,0.3,0.7,1,1
29,4,10,-0.5,0.2,0,0
29,5,15,0.3,0.3,1,0
29,6,27,0,0.2,0,0
29,7,3,0.4,0.3,1,0
29,8,2,-0.3,0.6,0,1
29,9,29,0.4,0.7,1,1
29,10,24,0,0.1,0,0
29,11,22,0.3,0.9,1,1
29,12,3,0.4,0.9,1,1
29,13,20,0.5,0.8,1,1
29,14,17,0.4,0.1,1,0
29,15,26,-0.3,0.4,0,0
30,1,19,0.5,0.3,1,0
30,2,14,0.3,0.7,1,1
30,3,11,0.5,0.9,1,1
30,4,19,0.5,0.3,1,1
30,5,19,0.5,0.5,1,0
30,6,15,0.5,0.4,1,0
30,7,20,0.4,0.5,1,1
30,8,14,0.3,0.6,1,1
30,9,17,0.4,1,1,1
30,10,14,0.3,0.1,1,0
30,11,17,0.4,0.3,1,0
30,12,1,0.3,0.9,1,1
30,13,19,0.5,1,1,1
30,14,11,0.5,0.4,1,0
30,15,13,0.4,0.5,1,1
31,1,29,0.5,0.1,1,0
31,2,7,0.5,0.3,1,0
31,3,29,0.5,0.1,1,0
31,4,4,0.4,1,1,1
31,5,30,0.3,0.8,1,1
31,6,4,0.4,0.7,1,1
31,7,20,0.4,0.5,1,1
31,8,10,0.3,0.7,1,1
31,9,20,0.4,0.2,1,0
31,10,6,0.5,0.6,1,1
31,11,1,0.5,0.1,1,0
31,12,19,0.5,0.6,1,0
31,13,3,0.4,0.8,1,1
31,14,3,0.4,0.4,1,0
31,15,19,0.5,0.2,1,0
32,1,19,0.5,0.3,1,0
32,2,21,0.5,0.6,1,1
32,3,19,0.5,0.8,1,1
32,4,16,0.1,0.2,1,0
32,5,19,0.5,0.5,1,0
32,6,4,0.3,0.7,1,1
32,7,25,0.4,0.3,1,0
32,8,6,0.4,0.5,1,0
32,9,20,0.4,0.2,1,0
32,10,1,0.4,0.7,1,1
32,11,19,0.5,0,1,0
32,12,19,0.5,0.6,1,1
32,13,19,0.5,1,1,1
32,14,21,0.5,0.3,1,0
32,15,27,0.5,0.4,1,1
33,1,1,0.2,0.1,1,0
33,2,13,0.4,0.2,1,0
33,3,13,0.4,0.5,1,1
33,4,21,-0.3,0.8,0,1
33,5,11,0.2,0.7,1,1
33,6,28,0.3,0.1,1,0
33,7,14,0.1,0.8,1,1
33,8,18,-0.4,0.8,0,1
33,9,25,0.5,0.6,1,1
33,10,28,0.3,1,1,1
33,11,30,0.5,0.2,1,0
33,12,15,-0.5,0.1,0,0
33,13,25,0.5,0.3,1,0
33,14,11,0.2,0.4,1,0
33,15,14,0.1,0.9,1,1
34,1,1,0.3,0.1,1,0
34,2,25,0,0.5,1,1
34,3,11,0.3,0.9,1,1
34,4,22,-0.4,0.1,0,0
34,5,1,0.3,0.7,1,1
34,6,1,0.3,1,1,1
34,7,23,0.5,0.2,1,0
34,8,17,0.4,0.2,1,0
34,9,20,-0.2,0.2,0,0
34,10,15,-0.4,0.4,0,0
34,11,23,0.5,0.5,1,1
34,12,21,0.5,0.5,1,0
34,13,23,0.5,0.9,1,1
34,14,17,0.4,0.1,1,0
34,15,21,0.5,1,1,1
35,1,8,0.5,1,1,1
35,2,23,0.1,0,1,0
35,3,30,0,0.7,0,1
35,4,21,0,0.8,0,1
35,5,17,0.1,0.4,1,0
35,6,26,0.3,0.9,1,1
35,7,24,0.3,0.1,1,0
35,8,24,0.3,0.6,1,1
35,9,21,0,0.2,0,0
35,10,14,0.3,0.1,1,0
35,11,16,0.5,0.7,1,1
35,12,8,0.5,0.7,1,1
35,13,15,0.2,0.4,1,0
35,14,25,0,0.4,0,0
35,15,2,0.2,0,1,0
36,1,25,0.4,0.7,1,1
36,2,8,0.1,0.8,1,1
36,3,12,0.5,0.4,1,1
36,4,19,0.4,0.3,1,1
36,5,19,0.4,0.5,1,0
36,6,19,0.4,0.1,1,0
36,7,1,0.4,1,1,1
36,8,17,0.4,0.2,1,0
36,9,12,0.5,0.9,1,1
36,10,12,0.5,0.1,1,0
36,11,19,0.4,0,1,0
36,12,12,0.5,0.7,1,1
36,13,1,0.4,0.8,1,1
36,14,12,0.5,0.6,1,1
36,15,19,0.4,0.2,1,0
37,1,12,0.5,0.8,1,1
37,2,23,0.5,0,1,0
37,3,12,0.5,0.4,1,0
37,4,23,0.5,0.7,1,1
37,5,22,0.5,0.6,1,0
37,6,22,0.5,0.8,1,1
37,7,22,0.5,0.4,1,0
37,8,26,0.2,0.8,1,1
37,9,5,0.2,0.6,1,1
37,10,9,0.3,0.2,1,0
37,11,12,0.5,0.9,1,1
37,12,22,0.5,0.4,1,0
37,13,7,0.4,0.9,1,1
37,14,11,0,0.4,0,0
37,15,22,0.5,0.3,1,0
38,1,12,0.1,0.8,1,1
38,2,3,0.4,0.9,1,1
38,3,7,0,0.6,0,1
38,4,9,0.2,0,1,0
38,5,2,0.4,0.8,1,1
38,6,4,0.2,0.7,1,1
38,7,10,0.5,0.6,1,1
38,8,15,-0.1,0.3,0,0
38,9,28,0,0.2,0,0
38,10,4,0.2,0.4,1,0
38,11,3,0.4,0.9,1,1
38,12,2,0.4,1,1,1
38,13,22,0,0.2,0,0
38,14,29,0.3,0.6,1,1
38,15,26,-0.1,0.4,0,1
39,1,28,0.4,0.7,1,1
39,2,15,-0.1,0.2,0,0
39,3,17,0,0.9,1,1
39,4,13,0,0.8,1,1
39,5,16,0.4,0.6,1,0
39,6,11,-0.4,0,0,0
39,7,4,0.4,0.6,1,1
39,8,2,-0.1,0.6,1,1
39,9,19,-0.3,0.8,0,1
39,10,18,0.5,0.3,1,0
39,11,17,0,0.3,1,0
39,12,26,0.3,0.1,1,0
39,13,2,-0.1,0.2,1,0
39,14,28,0.4,0,1,0
39,15,6,0.5,0.2,1,0
40,1,11,0.3,0.4,1,0
40,2,30,0,0.4,1,0
40,3,29,0.5,0.1,1,0
40,4,6,0.4,0.2,1,0
40,5,18,0.1,0.9,1,1
40,6,9,0.5,0.7,1,1
40,7,29,0.5,1,1,1
40,8,29,0.5,0.3,1,0
40,9,29,0.5,0.7,1,1
