"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","0","30","1","19820","helicopter",,"21000","2017-03-26 23:57:34","2169"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","20","1","41724","bookshelf",,"16000","2017-03-26 23:58:34","2170"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","2","60","1","57969","machine",,"21000","2017-03-26 23:59:55","2171"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","3","25","1","83197","doorway",,"26000","2017-03-27 00:01:46","2172"
"ANVAFB99K5RKP","cs_wg_v3_real1","3XUHV3NRVKZH361AHOWE6ZL32TN5H2","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","15","1","34521","umbrella",,"26000","2017-03-27 00:02:33","2173"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","0","25","1","66911","wedding",,"16000","2017-03-27 00:02:43","2174"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","4","40","1","52133","helicopter ",,"31000","2017-03-27 00:03:11","2175"
"ANVAFB99K5RKP","cs_wg_v3_real1","3XUHV3NRVKZH361AHOWE6ZL32TN5H2","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","1","25","1","57754","structure",,"16000","2017-03-27 00:03:49","2176"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","30","1","65649","helicopter",,"21000","2017-03-27 00:04:21","2177"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","5","40","0","80997","machine",,"16000","2017-03-27 00:05:00","2178"
