"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
5,12,1,8,8,13,18,5,6,0,18,1,13,6
23,12,23,14,12,25,12,12,15,26,9,24,2,8
3,1,2,1,5,4,4,0,3,2,2,2,2,3
23,12,23,14,12,25,12,12,15,26,9,24,2,8
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
5,12,1,8,8,13,18,5,6,0,18,1,13,6
6,5,5,9,7,8,5,3,9,5,5,8,6,4
4,19,0,14,14,12,14,14,4,17,19,0,4,0
1,4,0,4,4,0,3,2,6,3,3,3,2,2
5,12,1,8,8,13,18,5,6,0,18,1,13,6
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
3,2,4,4,0,4,1,5,1,2,4,2,4,1
1,4,0,4,4,0,3,2,6,3,3,3,2,2
6,5,5,9,7,8,5,3,9,5,5,8,6,4
1,4,0,4,4,0,3,2,6,3,3,3,2,2
23,12,23,14,12,25,12,12,15,26,9,24,2,8
3,1,2,1,5,4,4,0,3,2,2,2,2,3
23,12,23,14,12,25,12,12,15,26,9,24,2,8
4,19,0,14,14,12,14,14,4,17,19,0,4,0
6,5,5,9,7,8,5,3,9,5,5,8,6,4
1,4,0,4,4,0,3,2,6,3,3,3,2,2
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,2,4,4,0,4,1,5,1,2,4,2,4,1
3,1,2,1,5,4,4,0,3,2,2,2,2,3
1,4,0,4,4,0,3,2,6,3,3,3,2,2
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
5,12,1,8,8,13,18,5,6,0,18,1,13,6
3,2,4,4,0,4,1,5,1,2,4,2,4,1
23,12,23,14,12,25,12,12,15,26,9,24,2,8
23,12,23,14,12,25,12,12,15,26,9,24,2,8
23,12,23,14,12,25,12,12,15,26,9,24,2,8
23,12,23,14,12,25,12,12,15,26,9,24,2,8
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,2,4,4,0,4,1,5,1,2,4,2,4,1
23,12,23,14,12,25,12,12,15,26,9,24,2,8
1,4,0,4,4,0,3,2,6,3,3,3,2,2
4,19,0,14,14,12,14,14,4,17,19,0,4,0
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,2,4,4,0,4,1,5,1,2,4,2,4,1
3,1,2,1,5,4,4,0,3,2,2,2,2,3
6,5,5,9,7,8,5,3,9,5,5,8,6,4
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
3,2,4,4,0,4,1,5,1,2,4,2,4,1
6,5,5,9,7,8,5,3,9,5,5,8,6,4
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
3,2,4,4,0,4,1,5,1,2,4,2,4,1
23,12,23,14,12,25,12,12,15,26,9,24,2,8
4,19,0,14,14,12,14,14,4,17,19,0,4,0
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,2,4,4,0,4,1,5,1,2,4,2,4,1
5,12,1,8,8,13,18,5,6,0,18,1,13,6
5,12,1,8,8,13,18,5,6,0,18,1,13,6
5,12,1,8,8,13,18,5,6,0,18,1,13,6
4,19,0,14,14,12,14,14,4,17,19,0,4,0
6,5,5,9,7,8,5,3,9,5,5,8,6,4
23,12,23,14,12,25,12,12,15,26,9,24,2,8
1,4,0,4,4,0,3,2,6,3,3,3,2,2
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,2,4,4,0,4,1,5,1,2,4,2,4,1
3,1,2,1,5,4,4,0,3,2,2,2,2,3
3,1,2,1,5,4,4,0,3,2,2,2,2,3
23,12,23,14,12,25,12,12,15,26,9,24,2,8
3,1,2,1,5,4,4,0,3,2,2,2,2,3
4,19,0,14,14,12,14,14,4,17,19,0,4,0
3,1,2,1,5,4,4,0,3,2,2,2,2,3
5,12,1,8,8,13,18,5,6,0,18,1,13,6
1,4,0,4,4,0,3,2,6,3,3,3,2,2
4,19,0,14,14,12,14,14,4,17,19,0,4,0
5,12,1,8,8,13,18,5,6,0,18,1,13,6
4,19,0,14,14,12,14,14,4,17,19,0,4,0
1,4,0,4,4,0,3,2,6,3,3,3,2,2
