"subject","version","assignmentId","cond","practice","prompt","choice","modality","correct","rt","trial","stamp","id"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","should","1","4556","0","2018-01-10 17:16:24","13361"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","1","should","1","2052","1","2018-01-10 17:16:27","13362"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","should","1","1630","2","2018-01-10 17:16:30","13363"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","0","should","1","1860","3","2018-01-10 17:16:33","13364"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","1","should","1","1936","4","2018-01-10 17:16:36","13365"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","should","1","1722","5","2018-01-10 17:16:39","13366"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone burns 20 dollar bills with a match.","0","should","1","1754","6","2018-01-10 17:16:41","13367"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","0","should","1","2067","7","2018-01-10 17:16:44","13368"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","0","could","0","1473","0","2018-01-10 17:16:47","13369"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","could","1","1870","1","2018-01-10 17:16:50","13370"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","could","1","1543","2","2018-01-10 17:16:52","13371"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","1","could","0","986","3","2018-01-10 17:16:54","13372"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","0","could","1","2553","4","2018-01-10 17:16:58","13373"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","0","could","1","2702","5","2018-01-10 17:17:02","13374"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","could","1","1768","6","2018-01-10 17:17:04","13375"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone burns 20 dollar bills with a match.","1","could","1","1902","7","2018-01-10 17:17:07","13376"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone burns 20 dollar bills with a match.","0","ought","1","2828","0","2018-01-10 17:17:11","13377"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","0","ought","1","2292","1","2018-01-10 17:17:14","13378"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","0","ought","1","1484","2","2018-01-10 17:17:17","13379"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","1","ought","1","2780","3","2018-01-10 17:17:21","13380"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","1","ought","1","3834","4","2018-01-10 17:17:25","13381"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","ought","1","5799","5","2018-01-10 17:17:32","13382"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","ought","1","7398","6","2018-01-10 17:17:41","13383"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","ought","1","2352","7","2018-01-10 17:17:44","13384"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","possible","1","2138","0","2018-01-10 17:17:47","13385"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","0","possible","1","2857","1","2018-01-10 17:17:51","13386"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","possible","1","1124","2","2018-01-10 17:17:53","13387"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","0","possible","1","1012","3","2018-01-10 17:17:55","13388"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","1","possible","1","1366","4","2018-01-10 17:17:58","13389"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","0","possible","1","1551","5","2018-01-10 17:18:00","13390"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone burns 20 dollar bills with a match.","1","possible","1","3421","6","2018-01-10 17:18:05","13391"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","possible","1","3148","7","2018-01-10 17:18:09","13392"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","fortune","0","possible","-1","200","0","2018-01-10 17:18:28","13393"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","doorway","1","possible","-1","126","1","2018-01-10 17:18:30","13394"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","community","1","possible","-1","493","2","2018-01-10 17:18:32","13395"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","wedding","1","possible","-1","92","3","2018-01-10 17:18:34","13396"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","ladder","1","possible","-1","177","4","2018-01-10 17:18:37","13397"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","military","0","possible","-1","306","5","2018-01-10 17:18:39","13398"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","mountain","0","possible","-1","2637","6","2018-01-10 17:18:44","13399"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","football","1","possible","-1","596","7","2018-01-10 17:18:46","13400"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","stomach","1","possible","-1","148","8","2018-01-10 17:18:48","13401"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","umbrella","1","possible","-1","354","9","2018-01-10 17:18:51","13402"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","basket","1","possible","-1","177","10","2018-01-10 17:18:53","13403"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","traffic","1","possible","-1","394","11","2018-01-10 17:18:55","13404"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","keyboard","1","possible","-1","164","12","2018-01-10 17:18:57","13405"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","machine","1","possible","-1","221","13","2018-01-10 17:19:00","13406"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","helicopter","1","possible","-1","185","14","2018-01-10 17:19:02","13407"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","whisper","0","possible","-1","188","15","2018-01-10 17:19:04","13408"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","delay","0","sunlight","0","possible","-1","156","16","2018-01-10 17:19:06","13409"
