"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A1YJTYLITTPI6B","cs_wg_v3_pilot3","3TK8OJTYM1MQEHED6SMWJ6HT1VOPVX","75255","1941436","Male","746","No","I didn't really have a strategy, just tried to fire off some of the words in my head and figure it out.  ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:19:31","284"
"A2O5OJXCUFQ3FV","cs_wg_v3_pilot3","3TYCR1GOTCKHWG4PFXISNVL5KWTLZV","135634","2295310","Male","389","No","To be honest i was thinking it up as i went. The instructions switched so much i had to pay attention.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:25:32","285"
"A2OFN0A5CPLH57","cs_wg_v3_pilot3","3WOKGM4L71HS0G1WOVLS9DMDXUFO0N","77996","2173334","Female","255","No","Yes, I have a comment.  In part 1 when I would choose the word, I was not bonused the amount of the word, it always said ""you chose 5 points"" even though I would choose the word. I was only ever given a bonus when I actually choose the 5 point option.

My strategy in part 2 was to try and remember the words from part one and put the first word that I could remember in the box while I continued to think of other words.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:25:34","286"
"AO0CQ0WT4FT7T","cs_wg_v3_pilot3","36WLNQG78ZB78CRHSXFLOIOIKW6EBV","64746","2047283","Male","328","No","I just tried my hardest to remember the words, but it was really hard ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:25:35","287"
"A20HITED8LB7O5","cs_wg_v3_pilot3","3TVRFO09GKGSRL4AEFU7QA5UCWVLXY","84861","2366020","Female","820","No","One of the worst surveys I've taken, should pay more because it requires superior mental effort. Strategy in Part 2 was try to remember the words from part 1",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:27:27","288"
"A1FDPHX8S6G1WM","cs_wg_v3_pilot3","3VNXK88KKCJ5MUY6P3QZXGHEWR6V98","100289","2705912","Female","812","No","Part two was quite harder",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:33:33","289"
"A1Z3NTRGIUZ240","cs_wg_v3_pilot3","31QTRG6Q2TE7IB9IB39GQ5LNJCQPY6","84110","2688796","Male","800","No","I noticed that the message in part 1 after hitting p or w said the same, ""You selected P"", or something like that.

During part one I remembered the words i wanted to press W on.

I used the time before clicking continue to come up with the work i would use after I timed out on the second question. It worked great.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:34:38","290"
"A154X03NKVZZL1","cs_wg_v3_pilot3","3137ONMDKG63ZTZS8J7ZPTFF09YGEE","652698","2442577","Male","885","No","i went based on what i remembered and just rried to get something down before timer ended.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:37:07","291"
"A2XUADP5L61HQ5","cs_wg_v3_pilot3","3I3WADAZ9Q5RVNNXL1R4Q8I4E2QO58","178097","2422622","Male","292","No","Just try to remember.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:40:49","292"
"ANQ0RLFEZ17W0","cs_wg_v3_pilot3","3X0H8UUIT1P06YUAOJVM0D5IVOXSWQ","129067","2270543","Female","304","No","Very fun! My strategy in part 2 was to run through the list of words in my head as fast as possible.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:42:22","293"
"A64JDJKE9DYCT","cs_wg_v3_pilot3","3GLB5JMZFXWY7NLSCOWFJBXU0XXGDL","126931","3544420","Male","368","No","I was rather confused about the point system in part 1. No matter whether I chose the word (by pressing W) or chose the points (by pressing P), it would always tell me that ""You chose 5 points"" after my selection. I would constantly look to see if the points were being added correctly, but they never were. For example, if I was given the word ""structure"", I would press W to select the word. But, after I would press W, it would still tell me that ""you chose 5 points"". When I would look at the poi",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 20:55:01","294"
"A61GHYNS1DFT7","cs_wg_v3_pilot3","32UTUBMZ7GXOAND3NN4VOMC4KR9VBI","101258","2034999","Male","852","No","I tried to remember the words as best as I could and that was pretty much it. This one was fun.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 21:04:26","295"
"A14CPQKP46VJQK","cs_wg_v3_pilot3","3ATTHHXXWAPQ1KW4TCXUYUD2VS1IXH","163199","4115342","Female","855","No","I just try my luck in Part 2.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 21:06:49","296"
"APGX2WZ59OWDN","cs_wg_v3_pilot3","3R3YRB5GRF4JEYJBCJUUXPQFO2FAUD","59363","3450065","Female","295","No","I tried to remember as many words as possible for part 2, but I found that I was repeating a few words several times",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-23 21:12:48","297"
