"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"AF8KEA2127EAN","cs_wg_v7_real5","3R8YZBNQ9HJ933EWO7Y5DXR2VHZQ7O","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","21730","embryo",,"120","1","1","2018-05-30 15:10:02","17337"
"AZLKVYU5QZ2Z9","cs_wg_v7_real5","3PB5A5BD0V7IQEKILBTTJJN0PUQG7J","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","12515","rabies",,"120","1","0","2018-05-30 15:10:34","17338"
"AF8KEA2127EAN","cs_wg_v7_real5","3R8YZBNQ9HJ933EWO7Y5DXR2VHZQ7O","0","Alphabet position of third-to-last letter.","1","[14,15,9,18,18,16,9,2,16,11,12,23]","1","26","1","16117","Golden","GOLDEN
INFERNO
U","20","1","1","2018-05-30 15:10:58","17339"
"A2JFM3OPID0ZFQ","cs_wg_v7_real5","3B4YI393V9X7ZHD14ELL3O2Z0JXSS2","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","58201","embryo
",,"120","1","1","2018-05-30 15:11:23","17340"
"A1C1YCP428CQ7E","cs_wg_v7_real5","3WQQ9FUS6AVQZBHQFUTLW8SYK14B8K","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","28096","Rabies",,"120","1","1","2018-05-30 15:11:27","17341"
"AZLKVYU5QZ2Z9","cs_wg_v7_real5","3PB5A5BD0V7IQEKILBTTJJN0PUQG7J","0","Alphabet position of third-to-last letter.","1","[13,12,18,9,9,11,18,25,11,16,15,4]","1","26","1","14349","unhappy",,"20","1","0","2018-05-30 15:11:27","17342"
"A285PGNOKOI08H","cs_wg_v7_real5","386PBUZZXFYRW1ZLXBF6Z1XHC6CJLZ","0","Alphabet position of third letter.","0","[9,7,2,16,2,12,6,5,15,8,16,12]","0","5","1","30251","lipstick",,"120","0","0","2018-05-30 15:11:35","17343"
"AONX6QGGUA3KI","cs_wg_v7_real5","378XPAWRUCEE57OBI25GEM265FOAIW","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","29694","embryo",,"120","1","1","2018-05-30 15:11:40","17344"
"A2QWVKYC4RSJKM","cs_wg_v7_real5","3X0H8UUIT1P06YUAOJVM0D5K6WTWSL","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","30466","Embryo",,"120","1","1","2018-05-30 15:11:52","17345"
"A1QXCUL98HP53","cs_wg_v7_real5","3WQQ9FUS6AVQZBHQFUTLW8SYK148BH","0","Alphabet position of third letter.","0","[9,7,2,16,2,12,6,5,15,8,16,12]","0","25","0","20700","75","75","120","0","0","2018-05-30 15:11:54","17346"
"A2XGJKNLRYKERC","cs_wg_v7_real5","3PW9OPU9PQLE0YX9XGRVG52MCPM21Q","0","Alphabet position of third letter.","0","[18,20,25,11,25,15,21,22,12,19,11,15]","0","25","1","31557","rabies",,"120","1","1","2018-05-30 15:12:01","17347"
"A3C12V3FUGJJDI","cs_wg_v7_real5","3GGAI1SQEVZOU5B0NVZZCAZBMRUMCR","0","Alphabet position of third letter.","0","[9,7,2,16,2,12,6,5,15,8,16,12]","0","5","1","3323","GOOD","LSTICK","120","0","1","2018-05-30 15:12:08","17348"
