"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","57015","1557730","Male","709","No","Strategy - just try to recall words",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:21:36","326"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","24289","1748368","Male","720","No","No particular strategy, just tried to earn as much as possible.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:25:15","327"
"AW0MG225VXWCN","cs_wg_v3_real2","3N2BF7Y2VQVFBDMG9ND0N1WPOPYHMR","49915","1910516","Male","760","No","I didn't have a strategy.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:29:34","328"
"A3CFBT2CBQQIZY","cs_wg_v3_real2","35K3O9HUABEXLT3XXZ1H78F3Z8UFE2","237440","2310556","Male","675","No","My strategy was to think about all the words I remember from part 2 and use them as needed.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:33:46","329"
"A395K5HZYPN0S7","cs_wg_v3_real2","38F5OAUN5NDWQAFT5HBB4JZZT037H6","96538","2271219","Male","742","No","I have no comments. I didn't have much of a strategy in part 2. Just doing my best to remember the words from Part 1. But sometimes I would assign the words qualities, like for example, the word ""keyboard"" I remembered was worth two points because it was a two-syllable word. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:34:03","330"
"A1XQLUUL2K4DC7","cs_wg_v3_real2","3TEM0PF1Q5Y1WJA7YM7CYJAETU4D03","45798","1400465","Male","503","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:36:04","331"
"AIZAG6Z43BB2I","cs_wg_v3_real2","3OWEPKL089DO06148F6O93WVFCC7NF","46713","1418944","Male","554","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:36:21","332"
"A2F93SIUUV5HQH","cs_wg_v3_real2","3HL8HNGX452GQXCGPOLVFUES8BEF9S","85667","2357722","Female","748","No","In part 2, I tried to start thinking of my answer before I advanced to the next page. I had a lot of fun doing this study! Thanks for the HIT! :)",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:38:53","333"
"A19WXS1CLVLEEX","cs_wg_v3_real2","3QAPZX2QN4EET9CR1XNV20JAW3F20J","234173","2591959","Male","725","No","No real strategy. Just try and remember the words as best I could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:39:03","334"
"A2R794P3E8X0MK","cs_wg_v3_real2","3JZQSN0I3QBV57ZO3UR57B0FCO9FGJ","94480","2137062","Female","662","No","try to remember the words even though the directions for each question made that nearly impossible and quite headache inducing.  ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:39:15","335"
"A23KAJRDVCVGOE
","cs_wg_v3_real2","3BWI6RSP7GAK60ORFG35JG2M1KB7EQ","60597","2431143","Male","609","No","i try to imagine it quickly in my head but it was hard",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:39:17","336"
"A303U3NB6DSHBF","cs_wg_v3_real2","3PM8NZGV8YH3IIKN6K237W4OMGDXQM","104220","2283325","Male","653","No","the timer was stressful. Part 2 i picked a word that came to mind and went with it. not much time to think",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:39:34","337"
"AMUIZWSQH3G4","cs_wg_v3_real2","3483FV8BEEK97KY63M3CB1T196126K","43343","1908779","Male","748","Yes","The real question right after the example was always the same so I used some time in the example to brainstorm what my answer would be.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:40:18","338"
"A3GIIL73GE2CBQ","cs_wg_v3_real2","3PEIJLRY6TU82FG9IT19ZLMAAHUXWQ","103792","2516361","Male","744","No","I couldn't really remember any of the words, so I just kinda did my own thing.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:40:28","339"
"A2QUQ0S2F6K3QJ","cs_wg_v3_real2","3Z7VU45IPYI4690LMN093GCRM4K1ZT","73865","2394477","Female","700","No","To just try and remember the words that would fit in the questions asked. Had a hard time remembering all 14 words at the end.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:40:29","340"
"A138BU1VWM2RKN","cs_wg_v3_real2","3OJSZ2ATDSXKAHVY4FA2FMW9ORC57N","90228","2210440","Female","735","No","This was very interesting. I didn't really have a strategy; I just tried to do my best.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:40:40","341"
"A2S3SV1LQTKJ8K","cs_wg_v3_real2","3CP1TO84PT2DOGYSY3T7JVF1DBQ527","86652","2661656","Male","760","No","My strategy in part 2 was to use my memory of typing in the words from part 1.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:40:49","342"
"A1LB9JOMFQ1UMG","cs_wg_v3_real2","3WMINLGALB4NS42BQS9U3J49HG4ACR","39433","2457621","Female","759","No","I thought that it was a really good study. For part 2, I tried to just write down as many words as I could remember and then pick from the list of what I could recall, although I paid very good attention in part 1 so I could remember all the words in part 2. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:42:16","343"
"A36662QQDZ9J3R","cs_wg_v3_real2","3EWIJTFFVO86OPO7UHIW41SZT650EJ","64517","2490992","Male","737","No","There was a little time while reading the directions to try to remember a word that fit the criteria...I don't know if that is considered cheating, but there was really no way to prevent the words from running through your mind as you read the directions. So the timer on the second page was not as not as important. But I tried not to linger too long as I wanted it to be a fair test.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:43:05","344"
"A1U8HCXVACOGJ8","cs_wg_v3_real2","32Z9ZLUT1LL3BG7SM3SDF5LUJPDHO6","65664","2950549","Female","756","No","I just tried to remember the words in part 1 and figure out which one hit the requirements within the time limit, challenging task. Very interesting, thank you! ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:44:48","345"
"A3MJ47AD05HGC","cs_wg_v3_real2","3UOUJI6MTDFVABR4NTM8HX1DP1JXUR","60425","2247344","Male","734","No","Just used what I remembered. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:45:14","346"
"A1PZ1YZAQEXRSQ","cs_wg_v3_real2","3K2755HG5S4STNPX14QX1QXIZWTFD9","79682","2740633","Male","740","No","In part two I just tried to remember the best I could thinking about the words I could remember. Also, I should probably note that for the first part of each question I initially though I was being timed so I rushed a bit, then I realized I wasn't and it was more of a comprehension questions, so I may have gotten a couple wrong in that regard.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:45:41","347"
"A1UGD2VEVSML1U","cs_wg_v3_real2","3634BBTX0OV91Y5JTIR8SNDVR11FIB","280876","2302771","Male","600","No","Nope!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:47:02","348"
"A16UAN46CNIRHY","cs_wg_v3_real2","3WOKGM4L71HS0G1WOVLS9DMDX8B0ON","130415","2682601","Female","751","No","During part 1, there was a lot of repetition and that allowed me to remember the words and values easily. In part 2, I found it very hard to correctly answer questions like which word had the most space between the fourth and fifth letters and so on. I tried my best to work those out in my head, but it was hard to visualize within the time frame.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:48:08","349"
"AB1X97ASE626Q","cs_wg_v3_real2","33OOO72IVHMS701KWS0BYOU155PCTE","118183","3221878","Male","750","No","No strategy ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:48:55","350"
"A0017268R9SKD8U2Y3F","cs_wg_v3_real2","3TEM0PF1Q5Y1WJA7YM7CYJAETU40DQ","17626","1800630","Female","725","No","Fun! I had no strategy. Just tried to remember as best I could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:49:37","351"
"A38DC3BG1ZCVZ2","cs_wg_v3_real2","3PWWM24LHSZWBYHUW10AVFPSF1R286","51132","1790589","Female","692","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:49:48","352"
"A256FHXGSY0E5D","cs_wg_v3_real2","3VE8AYVF8MYGCST6KWFHFYJHO5WF83","298544","2527661","Male","714","No","No real strategy, just used the few words I could remember as efficiently as I could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:50:45","353"
"A3O2NOP1NUWCWL","cs_wg_v3_real2","3EJJQNKU9R668TZ8EV9H90QZUCXHRF","29035","3381870","Male","756","No","I just tried to use my memory",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:51:18","354"
"A3KKXA7COL5JHL","cs_wg_v3_real2","36H9ULYP62V5W9PPB0C84OSV4GQFJN","60914","1899308","Male","746","No","Only strategy I had was to think of the best word for the points in the amount of time I had.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:52:23","355"
"A29JSP8G8VTRT4","cs_wg_v3_real2","3OS4RQUCR9GZEQRDN8ZR609IWBHFB2","90826","2529690","Female","750","No","My only strategy was to think up the words as fast as possible and calculate what the questions ask to see which word would best fit the questions.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:52:44","356"
"AZIY6IFOS4CVC","cs_wg_v3_real2","3CP1TO84PT2DOGYSY3T7JVF1DBQ254","73970","3440795","Male","710","No","I just quickly thought up words and then when I typed them, I looked to see if they fit the rule.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:52:47","357"
"AAU61MG2R6RH0
","cs_wg_v3_real2","354P56DE9K4LGJT9GBNA8X612BK7SR","150841","2954050","Female","748","No","I use visualization and alphabetization. I see the words in my head and associate a number with that word  ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:53:02","358"
"AYDILOZLKOAS8","cs_wg_v3_real2","3EFE17QCRC6I98ZLTK9MZAVVGEGHS3","112848","2899293","Male","723","No","not sure why forced writing/recall after every trial in 1st section. terrible.

no strategy just whatever word recalled and used it. not too much incentive to dig really hard with 1 cent per 10 pts.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:53:18","359"
"AKCH7EGJBNV43","cs_wg_v3_real2","3VHP9MDGRNLIOVJJ18VMHKF0EWHFC9","95456","3093733","Female","755","No","I tried to remember the words from part 1 and then apply the rule that was mentioned. But in the end when I was asked to recollect all, I could, but during earlier questions, I could remember a few but not all. For Part 1, I tried to remember only the words over 5 points to select, else I would choose points.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:53:37","360"
"ATADQXPHL10Y8","cs_wg_v3_real2","3CFJTT4SXTRWM5QDBZTW4V0ETDI7IZ","33363","2335877","Male","514","No","none",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:53:49","361"
"A1QA5EWFMNKGTA","cs_wg_v3_real2","3CCZ6YKWR7KOO0JRJC8MTINFJH059Z","93938","2304990","Male","723","No","Thank you for letting me participate! I can't believe I misspelled helicopter twice in Part 2. I didn't really have a strategy, I just did my best to keep thinking through the words I could remember in my head while answering the questions. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:55:27","362"
"A173LV77LF3SHB","cs_wg_v3_real2","30JNVC0OR9L6WSK81GKH4AGUYQVHQE","115478","3265978","Female","691","No","I learned the 10 point words then tried to learn the oter higher point ones and then remember the low point works. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:55:53","363"
"A3E3RCR51Z8EVP","cs_wg_v3_real2","3FFJ6VRIL1PI4UQTQ08NPGQRLZC0IS","80568","2198116","Female","752","No","none",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:57:38","364"
"A18SXC3JEN1O0U","cs_wg_v3_real2","37C0GNLMHF4WAUWM0BNT7KK56XQD64","140882","3879061","Male","753","No","I tried to form words prior to the timer.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 15:59:59","365"
"A216CHBAPARGRZ","cs_wg_v3_real2","36PW28KO4ZX2P2MPMJFPT74C2SHAEK","93778","1828443","Male","744","No","My strategy in part 2 was the same as given; attempt to find the word left that best fit the scenario given for the most points. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:01:11","366"
"A1QCQE5XW37LN1","cs_wg_v3_real2","3XXU1SWE8MW3YC7VECGA8I288R70AO","79944","1723965","Male","743","No","I just kind of threw the first word that came to mind in part 2, to be honest. If I remembered to write down any, I did.

I was using shift-tab to enter the text boxes in Part 1, I think I might've entered double lines of the values at some point, so please excuse that.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:02:58","367"
"ANPCXN619ACW9","cs_wg_v3_real2","3NGMS9VZTLJPR73TSALNPQ03B99FFK","216190","2048595","Female","742","No","Part 2 was confusing so I don't think I did very well at all. I don't do well on time limits so I really struggled",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:03:53","368"
"A22IQZRDAMSNDE","cs_wg_v3_real2","3VHHR074H3IYC6YJW2Q9WBS6AHC7LD","72858","4101500","Female","736","No","I didn't really have one.  Panic?",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:04:48","369"
"A1FHS282JP487T","cs_wg_v3_real2","3BF51CHDTVBI8ZF9KIQ2P4PCLMX0HZ","674679","2886062","Male","722","No","no",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:06:45","370"
"ADGH21PCBH8R1","cs_wg_v3_real2","358010RM5EUVNQG4SJWDDJ3W38SXVG","36833","2030689","Female","644","No","I didn't really have a strategy",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:06:47","371"
"A2Q1YS118AO2BP","cs_wg_v3_real2","3TPWUS5F892KZH5ERX5ML8109Z7CW4","174415","2963850","Male","763","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:10:27","372"
"A15CDKMH6YDJ39","cs_wg_v3_real2","3V5Q80FXIXSAA1BOKK5E4YHHZFZ23E","65943","1946551","Female","743","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:12:24","373"
"A3NSJ6GJC7TZSG","cs_wg_v3_real2","3OLF68YTN92UVGMLHUZVBPPCETWAF2","172361","3019573","Female","720","No","no strategy, just tried to remember as much words as i could",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:14:28","374"
"A1159C6RKPZURE","cs_wg_v3_real2","3CTOC39K37RSHGAJTHEWGWFE6S77JB","51486","2824419","Male","737","No","Tried to work and remember words as quickly as possible ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:16:01","375"
"A3CDWPBKYDDASL","cs_wg_v3_real2","3TS1AR6UQQFCCEONARNB1YNMDLQ7F8","196902","3738211","Male","751","No","This study was really fun! It took quite a bit of time but it was not s single boring section and i loved it! Thanks for the study guys.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:17:32","376"
"A3U3LIXQYR362A","cs_wg_v3_real2","3AAPLD8UCCIJO8C0IKEC9FRHIXUHTS","189788","2732494","Female","729","No","I just paid close attention to the whole study, and went from there. Thank you.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:19:32","377"
" A3Q5SI9PCKJ2IW","cs_wg_v3_real2","33M4IA01QG23UJZNJZR3CMETI2FXRN","116586","2982777","Female","728","No","I read the example and answered the question. Then before I clicked for the real question, I would figure out the answer in my head quickly, so I wouldn't have to worry about the time clock.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:21:26","378"
"AETIZKQNUSBLB","cs_wg_v3_real2","34S6N1K2ZVKV5V4V9BCLNOH0OK8HLP","101547","2337525","Male","712","No","NONE
STRATEGY WAS JUST TO REMEMBER A FEW WORDS QUICKLY",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:23:47","379"
"A3IF13XHP5UPO2","cs_wg_v3_real2","3FDJT1UU74985W2IN9ZBJR1VUBCK58","195333","3891111","Male","669","No","I didn't really have a strategy, I just tried to remember the words as much as possible, I wish the timer in part 2 was longer, I really struggled in that part.

Interesting and very challenging at the same time. Wish you the best in your research.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:25:26","380"
"A2WUQGSG1LUJG0","cs_wg_v3_real2","3WETL7AQWT929YUB237C25KTJPQ53I","154839","2422534","Female","742","No","I didn't have a strategy in part 2. I just tried to remember as much as I could",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:25:27","381"
"A2IKVTS9K462TK","cs_wg_v3_real2","3Z7EFSHGN9FZOHA41218NRF7I1DCXX","36659","2348649","Male","702","No","Just tried to remember as much as I could and I don't think that was a whole lot. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:28:00","382"
"A1S6C6EN8MPKC3","cs_wg_v3_real2","39K0FND3AHG01QE23H386F9LBU8AM9","147937","2853059","Male","727","No","what a nightmare.. holy toledo.. what was my strategy? memory.. after 40 minutes on the first part is was easy to remember what was good and bad

as for the second part? shame on you.. it took me in some instances 5 minutes to just understand the instructions and on some of them I gave up and couldnt even respond. Then MORE insult you get 15 seconds to respond??

wow.. just pay me for the hit.. you can keep the bonus.. this was horrible pay and insulting.. The way I just worked I should have ear",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-27 16:28:14","383"
