"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","0","60","0","47186","community",,"26000","2018-01-25 23:15:48","12966"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","1","40","0","22019","basket",,"21000","2018-01-25 23:16:33","12967"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","2","25","1","25808","traffic",,"16000","2018-01-25 23:17:16","12968"
"A3SX229VS1X6B6","cs_wg_v10_pilot1","3EG49X351UDA8013RBO51RNZ4GFX6R",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","0","60","0","29601","FOOTBALL",,"31000","2018-01-25 23:17:50","12969"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","3","40","1","21641","community",,"31000","2018-01-25 23:18:11","12970"
"A3SX229VS1X6B6","cs_wg_v10_pilot1","3EG49X351UDA8013RBO51RNZ4GFX6R",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","1","40","0","43538","MACHINE",,"16000","2018-01-25 23:18:51","12971"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","4","25","0","39664","helicopter",,"16000","2018-01-25 23:19:09","12972"
"A3SX229VS1X6B6","cs_wg_v10_pilot1","3EG49X351UDA8013RBO51RNZ4GFX6R",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","2","30","0","20987","MACHINE",,"26000","2018-01-25 23:19:40","12973"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","5","30","1","22527","community",,"21000","2018-01-25 23:19:54","12974"
"A3SX229VS1X6B6","cs_wg_v10_pilot1","3EG49X351UDA8013RBO51RNZ4GFX6R",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","40","0","15949","DOORWAY",,"16000","2018-01-25 23:20:14","12975"
"A32QWM7BWCSPTS","cs_wg_v10_pilot1","3GD6L00D3SY472127YAFVEGKP1G1ME",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","0","25","0","61339","BOOKSHELF","BOOKSHELF","16000","2018-01-25 23:20:34","12976"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","6","70","1","38357","bookshelf",,"31000","2018-01-25 23:21:06","12977"
"A3SX229VS1X6B6","cs_wg_v10_pilot1","3EG49X351UDA8013RBO51RNZ4GFX6R",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","4","70","1","30333","STRUCTURE",,"31000","2018-01-25 23:21:18","12978"
"A1MYLQQL8BBOYT","cs_wg_v10_pilot1","33FOTY3KEMMRYGPBU9G1SIB8VNC1CW",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","7","15","1","18490","community",,"26000","2018-01-25 23:21:52","12979"
"A3SX229VS1X6B6","cs_wg_v10_pilot1","3EG49X351UDA8013RBO51RNZ4GFX6R",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","5","30","1","14873","MACHINE",,"21000","2018-01-25 23:21:56","12980"
